Entity,Code,Day,Monthly sea surface temperature anomaly
Northern Hemisphere,,1850-01-15,-0.18959
Northern Hemisphere,,1850-02-15,-0.17722
Northern Hemisphere,,1850-03-15,-0.48693
Northern Hemisphere,,1850-04-15,-0.20998
Northern Hemisphere,,1850-05-15,-0.28046
Northern Hemisphere,,1850-06-15,-0.06259
Northern Hemisphere,,1850-07-15,-0.22695
Northern Hemisphere,,1850-08-15,-0.26194
Northern Hemisphere,,1850-09-15,-0.30269
Northern Hemisphere,,1850-10-15,-0.36302
Northern Hemisphere,,1850-11-15,-0.16824
Northern Hemisphere,,1850-12-15,-0.2155
Northern Hemisphere,,1851-01-15,-0.18112
Northern Hemisphere,,1851-02-15,-0.38696
Northern Hemisphere,,1851-03-15,-0.2349
Northern Hemisphere,,1851-04-15,-0.33714
Northern Hemisphere,,1851-05-15,-0.22131
Northern Hemisphere,,1851-06-15,-0.12453
Northern Hemisphere,,1851-07-15,-0.19758
Northern Hemisphere,,1851-08-15,-0.25549
Northern Hemisphere,,1851-09-15,0.02322
Northern Hemisphere,,1851-10-15,0.05722
Northern Hemisphere,,1851-11-15,0.19317
Northern Hemisphere,,1851-12-15,0.15382
Northern Hemisphere,,1852-01-15,0.15493
Northern Hemisphere,,1852-02-15,-0.27947
Northern Hemisphere,,1852-03-15,-0.1702
Northern Hemisphere,,1852-04-15,-0.20038
Northern Hemisphere,,1852-05-15,-0.16984
Northern Hemisphere,,1852-06-15,0.1618
Northern Hemisphere,,1852-07-15,-0.13531
Northern Hemisphere,,1852-08-15,0.02244
Northern Hemisphere,,1852-09-15,0.00395
Northern Hemisphere,,1852-10-15,0.03619
Northern Hemisphere,,1852-11-15,-0.0331
Northern Hemisphere,,1852-12-15,0.11412
Northern Hemisphere,,1853-01-15,0.08974
Northern Hemisphere,,1853-02-15,0.18248
Northern Hemisphere,,1853-03-15,0.0449
Northern Hemisphere,,1853-04-15,-0.05136
Northern Hemisphere,,1853-05-15,-0.03536
Northern Hemisphere,,1853-06-15,0.03043
Northern Hemisphere,,1853-07-15,-0.02904
Northern Hemisphere,,1853-08-15,-0.22517
Northern Hemisphere,,1853-09-15,-0.29404
Northern Hemisphere,,1853-10-15,-0.28874
Northern Hemisphere,,1853-11-15,-0.17818
Northern Hemisphere,,1853-12-15,-0.09751
