,Timestamp,Height,Gender,HairColour,AgeCat,ArmsFolding,BirthMonth,DietType,DietChild1,DietChild2,DietChild3,TheatreSection,HoursSleep,ShoeSize,Upbringing,AllienSize,IQ,PreferredColour,Travel,ExpenseContrib,DreamPartner,Mother,Father,BeethovEvol,Temperament,times,Year,AgeNumeric,Diet1.HiFat,Diet1.HiCarb,Diet1.HiSug,Diet1.HiProt,Diet1.Bal,AgeCont,tss,BirthMonth.Cont,BirthMonth.Nepal
194,9/27/2021 13:27:45,189,Male,true Brown,1 (20 years old or below),Left,Feb,Omnivore,balanced,medium calories,normal,Centre,9,11,average,175,below,green,foot,50,170,above average,about average,classical,introvert,2021-09-27 14:27:45,2021,1,FALSE,FALSE,FALSE,FALSE,TRUE,1,31443937,2,4
195,9/27/2021 14:31:57,166,Female,dyed / other,1 (20 years old or below),Right,Sept,Omnivore,balanced,medium calories,normal,Centre,8,4,wealthy,243,above,violet,foot,75,170,about average,about average,experimental,extravert,2021-09-27 15:31:57,2021,1,FALSE,FALSE,FALSE,FALSE,TRUE,1,31447789,9,11
196,9/27/2021 14:49:12,155,Female,true Red,1 (20 years old or below),Right,Apr,Omnivore,balanced,medium calories,very healthy,Centre,8,4,wealthy,1e+06,below,yellow,motored,0,193.04,below average,below average,experimental,extravert,2021-09-27 15:49:12,2021,1,FALSE,FALSE,FALSE,FALSE,TRUE,1,31448824,4,6
197,9/27/2021 14:49:19,187,Male,true Brown,1 (20 years old or below),Right,Jan,Omnivore,balanced,medium calories,normal,Centre,8,8,wealthy,0.01,above,red,foot,50,165,about average,above average,electro / pop,introvert,2021-09-27 15:49:19,2021,1,FALSE,FALSE,FALSE,FALSE,TRUE,1,31448831,1,3
198,9/27/2021 14:49:35,175,Female,dyed / other,1 (20 years old or below),Right,Mar,Omnivore,balanced,medium calories,normal,Left,12,6,average,5,below,indigo,motored,100,198,below average,about average,experimental,introvert,2021-09-27 15:49:35,2021,1,FALSE,FALSE,FALSE,FALSE,TRUE,1,31448847,3,5
199,9/27/2021 14:49:38,155,Female,true Blonde,4 (23 yo),Right,Apr,Vegetarian,carbs,medium calories,normal,Centre,8,5,average,1,below,indigo,foot,100,185,about average,below average,electro / pop,extravert,2021-09-27 15:49:38,2021,4,FALSE,TRUE,FALSE,FALSE,FALSE,4,31448850,4,6
200,9/27/2021 14:49:40,169,Female,true Blonde,2 (21 yo),Left,Jan,Omnivore,balanced,medium calories,very healthy,Left,6,4,wealthy,0.001,below,green,motored,0,180,above average,about average,experimental,introvert,2021-09-27 15:49:40,2021,2,FALSE,FALSE,FALSE,FALSE,TRUE,2,31448852,1,3
201,9/27/2021 14:49:47,185,Male,true Blonde,1 (20 years old or below),Left,Mar,Vegetarian,balanced,medium calories,normal,Centre,8,8,average,168,below,green,foot,65,175,about average,about average,classical,extravert,2021-09-27 15:49:47,2021,1,FALSE,FALSE,FALSE,FALSE,TRUE,1,31448859,3,5
202,9/27/2021 14:49:51,180,Male,dyed / other,7 (26 yo or above),Left,Oct,Omnivore,balanced,high calories,very healthy,Right,7.5,11,average,1e-04,above,red,foot,100,170,about average,above average,experimental,extravert,2021-09-27 15:49:51,2021,7,FALSE,FALSE,FALSE,FALSE,TRUE,7,31448863,10,12
203,9/27/2021 14:49:54,173,Female,true Brown,1 (20 years old or below),Left,Jul,Omnivore,carbs/sugar/prot,medium calories,normal,Right,8,7.5,average,3,above,yellow,foot,0,183,about average,about average,experimental,introvert,2021-09-27 15:49:54,2021,1,FALSE,TRUE,TRUE,TRUE,FALSE,1,31448866,7,9
