Exam1	Exam2	Exam3	Exam4
53	65	55	5
53	53	55	15
53	63	55	22
25	56	26	26
33	68	32	32
36	53	42	42
44	35	44	44
43	47	44	44
39	62	44	44
43	48	46	46
43	55	47	47
63	75	63	47
43	50	48	48
57	56	61	48
49	71	50	50
46	38	50	50
48	65	50	50
58	61	62	50
60	73	63	50
48	51	51	51
48	70	53	51
53	49	55	51
60	67	63	51
49	45	52	52
52	59	52	52
50	45	52	52
56	69	56	52
51	48	56	53
53	53	56	54
56	50	56	56
54	57	57	48
51	48	57	51
54	69	57	52
53	51	58	58
56	64	58	58
51	54	59	59
57	55	59	59
56	61	60	53
61	59	60	50
55	50	60	60
58	72	61	61
59	59	64	64
57	55	64	64
62	62	65	65
61	61	66	66
62	64	66	66
60	65	66	66
64	77	67	67
63	72	67	67
69	73	69	69
65	77	70	70
71	72	70	70
64	58	70	70
65	86	66	71
68	72	71	71
68	72	71	71
62	60	66	72
67	73	68	72
64	73	68	72
67	80	72	72
69	73	72	72
70	74	72	72
64	51	68	74
70	78	74	74
71	67	74	74
71	41	74	74
68	68	69	75
72	69	75	75
67	67	69	76
71	67	76	76
71	68	76	76
71	69	76	76
77	68	78	78
75	83	78	78
75	72	79	79
79	81	80	80
73	66	80	80
78	68	80	80
78	68	82	82
75	73	82	82
79	83	84	84
83	73	84	84
79	76	85	85
86	79	86	86
89	86	94	94
57	48	58	96
65	52	69	94
67	69	69	99
