Q1	Q2
9.11666	11.29166
15.45	20.125
11.08333	11.41666
17	18.08333
13.5	16.29166
14.45	10.66666
15.95833	19.16666
18.16666	14.08333
8.275	14.33333
5.65	9.37499
8.8	9.74999
10.75	10.58333
9	14.16666
15.44166	17.75
10.26666	7.08333
13.4	16.54166
17.5	20.58333
12.86666	14.29166
7.7	6.91666
15.11666	12.12499
9.275	NA
11.86666	10.24999
5.65	15.95833
15.5	13.45832
14.75	18.625
11.65	10.99999
8.83333	10.12499
11.6	10.41666
11.15	15.58332
16.8	19.625
7.51666	8.66666
14.2	16.91666
7.98333	12.29166
13.5	13.12499
12.36666	8.79166
11.35	14.41666
18.1	14.41666
11.8	17.95833
10	13.375
10.26666	3.58332
12.96666	17.08333
6.75	12.08332
4.66666	7.24999
15.7	18.79166
13.15	16.25
12.66666	13.45832
9	10.62499
14.25	14.24999
14.39166	14.45832
8.75	11.29166
12	9.12499
11.28333	14.08333
11.24166	13.29166
12.6	12.24999
13.4	15.83333
8.75	17.08333
9.36666	8.24999
14.5	8.91666
13.29166	10.54166
11.76666	11.12499
9.59166	12.66666
12.29166	14.95833
9.44166	NA
6.03333	6.58333
9.95833	13.95833
8.41666	10.74999
14.15	14.24999
10.55	11.41666
12.1	9.79166
10.81666	15.75
5.5	12.5
12.9	14.75
13.36666	11.54166
4.9	6.54166
10.825	8.45832
15.7	17.625
13.15	11.70832
8.65	7.70832
16.9	13.54166
13.15833	19.125
18.1	20.58333
12	9.29166
8.2	12.08333
8.1	12.62499
12.11666	6.37499
19.5	19.75
9.19166	4.66666
13.5	17.79166
16.25	16.29166
6.2	10.12499
12.65	10.45833
18.5	21.25
4.85	8.29166
11.73333	8.33333
12.4	11.08333
17.55	20.45833
7.86666	9.62499
13.25	14.91666
11.43333	16.45833
5.45	7.375
14.43333	11.83333
10.76666	8.24999
16.5	16.75
16	19.125
6.45	14.625
12.81666	12.25
6.4	9.58333
6.16666	7.74999
18	19.45833
18.66666	21.125
7.1	8.20832
17.5	21
14.85	13.91666
17	17.33333
9.5	7.29166
0	6.33333
12	10.875
0	7.58333
18.01666	16.29166
8.9	10.04166
11.5	8.95833
9.9	12.29166
13.23333	13.08332
8.9	6.04166
19.3	17.41666
18.2	18.29166
15.7	10.5
7.5	NA
12	8.66666
8.58333	16.33333
14.3	19.625
13.7	7.49999
14.56666	18.58333
5.9	8.87499
14.16666	11.95832
12.16666	8.45833
7.99166	8.75
8.375	13.95832
14.91666	18.58333
13.8	21.125
9.45	7.16666
6.86666	6.91666
8.775	13.41666
13.7	14.12499
6.7	10.25
