SDW	Run	Treatment.ID	Variety	Block
0.052	1	None	OSTIGLIA	None_1
0.108	1	None	L-202	None_1
0.074	1	None	SUNG_LIAO_2	None_1
0.105	1	None	GHARIB	None_1
0.074	1	None	NOVA	None_1
0.084	1	None	HABIGANJ_BORO_6	None_1
0.095	1	None	ZHE_733	None_1
0.134	1	None	Halwa_Gose_Red	None_1
0.108	1	None	RTS14	None_1
0.097	1	None	KITRANA_508	None_1
0.134	1	None	Pai_Hok_Glutinous	None_1
0.081	1	None	SHIRKATI	None_1
0.077	1	None	COCODRIE	None_1
0.127	1	None	Romanica	None_1
0.097	1	None	SIGADIS	None_1
0.063	1	None	NPE_835	None_1
0.089	1	None	LEAH	None_1
0.093	1	None	PATE_BLANC_MN_1	None_1
0.093	1	None	CHANG_CH'SANG_HSU_TAO	None_1
0.056	1	None	PATNAI_23	None_1
0.136	1	None	BALDO	None_1
0.137	1	None	MIRITI	None_1
0.059	1	None	Dosel	None_1
0.137	1	None	AI-CHIAO-HONG	None_1
0.096	1	None	DD_62	None_1
0.079	1	None	TADUCAN	None_1
0.042	1	None	BLUE_ROSE	None_1
0.072	1	None	583	None_1
0.076	1	None	TOPLOEA_70/76	None_1
0.097	1	None	Bergreis	None_1
0.08	1	None	TE_QING	None_1
0.078	1	None	519	None_1
0.092	1	None	Lomello	None_1
0.084	1	None	Caucasica	None_1
0.068	1	None	Llanero_501	None_1
0.073	1	None	WC_4443	None_1
0.083	1	None	ARC_10376	None_1
0.1	1	None	KIANG-CHOU-CHIU	None_1
0.198	1	None	Vavilovi	None_1
0.077	1	None	T26	None_1
0.109	1	None	Jamir	None_1
0.099	1	None	JOUIKU_393G	None_1
0.11	1	None	CHINA_1039	None_1
0.096	1	None	DOURADO_AGULHA	None_1
0.08	1	None	BINULAWAN	None_1
0.156	1	None	DA16	None_1
0.123	1	None	Yodanya	None_1
0.089	1	None	GERDEH	None_1
0.116	1	None	LADY_WRIGHT_SELN	None_1
0.079	1	None	GUAN-YIN-TSAN	None_1
0.106	1	None	Sadri_Belyi	None_1
0.083	1	None	AZUCENA_OWN	None_1
0.088	1	None	DEE_GEO_WOO_GEN	None_1
0.058	1	None	LUK_TAKHAR	None_1
0.12	1	None	CENIT	None_1
0.074	1	None	CYBONNET	None_1
0.095	1	None	IR_8	None_1
0.063	1	None	DELLA	None_1
0.081	1	None	LEUNG_PRATEW	None_1
0.073	1	None	DV_123	None_1
0.121	1	None	Melanotrix	None_1
0.111	1	None	ASD_1	None_1
0.123	1	None	M-202	None_1
0.089	1	None	Biser_1	None_1
0.078	1	None	325	None_1
0.107	1	None	PALMYRA	None_1
0.15	1	None	RADIN_EBOS_33	None_1
0.084	1	None	DJ_24	None_1
0.1	1	None	ORO	None_1
0.105	1	None	DOM-SOFID	None_1
0.053	1	None	H256-76-1-1-1	None_1
0.065	1	None	IR-44595	None_1
0.12	1	None	CREOLE	None_1
0.088	1	None	CS-M3	None_1
0.081	1	None	RTS4	None_1
0.05	1	AMF+RP	OSTIGLIA	AMF+RP_1
0.061	1	AMF+RP	L-202	AMF+RP_1
0.057	1	AMF+RP	SUNG_LIAO_2	AMF+RP_1
0.056	1	AMF+RP	GHARIB	AMF+RP_1
0.051	1	AMF+RP	NOVA	AMF+RP_1
0.053	1	AMF+RP	HABIGANJ_BORO_6	AMF+RP_1
0.075	1	AMF+RP	ZHE_733	AMF+RP_1
0.081	1	AMF+RP	Halwa_Gose_Red	AMF+RP_1
0.073	1	AMF+RP	RTS14	AMF+RP_1
0.047	1	AMF+RP	KITRANA_508	AMF+RP_1
0.064	1	AMF+RP	Pai_Hok_Glutinous	AMF+RP_1
0.052	1	AMF+RP	SHIRKATI	AMF+RP_1
0.054	1	AMF+RP	COCODRIE	AMF+RP_1
0.059	1	AMF+RP	Romanica	AMF+RP_1
0.053	1	AMF+RP	SIGADIS	AMF+RP_1
0.064	1	AMF+RP	NPE_835	AMF+RP_1
0.042	1	AMF+RP	LEAH	AMF+RP_1
0.055	1	AMF+RP	PATE_BLANC_MN_1	AMF+RP_1
0.075	1	AMF+RP	CHANG_CH'SANG_HSU_TAO	AMF+RP_1
0.045	1	AMF+RP	PATNAI_23	AMF+RP_1
0.109	1	AMF+RP	BALDO	AMF+RP_1
0.069	1	AMF+RP	MIRITI	AMF+RP_1
0.036	1	AMF+RP	Dosel	AMF+RP_1
0.079	1	AMF+RP	AI-CHIAO-HONG	AMF+RP_1
0.056	1	AMF+RP	DD_62	AMF+RP_1
0.059	1	AMF+RP	TADUCAN	AMF+RP_1
0.066	1	AMF+RP	BLUE_ROSE	AMF+RP_1
0.051	1	AMF+RP	583	AMF+RP_1
0.048	1	AMF+RP	TOPLOEA_70/76	AMF+RP_1
0.031	1	AMF+RP	Bergreis	AMF+RP_1
0.063	1	AMF+RP	TE_QING	AMF+RP_1
0.068	1	AMF+RP	519	AMF+RP_1
0.068	1	AMF+RP	Lomello	AMF+RP_1
0.06	1	AMF+RP	Caucasica	AMF+RP_1
0.064	1	AMF+RP	Llanero_501	AMF+RP_1
0.068	1	AMF+RP	WC_4443	AMF+RP_1
0.053	1	AMF+RP	ARC_10376	AMF+RP_1
