SDW	Run	Treatment.ID	Variety	logSDW
0.155	1	None	IAC 25	-1.864330162
0.099	1	None	JAMBU	-2.312635429
0.074	1	None	SUNG LIAO 2	-2.603690186
0.074	1	None	NOVA	-2.603690186
0.182	1	None	KALUBALA VEE	-1.703748592
0.081	1	None	AZUCENA	-2.513306124
0.131	1	None	NIRA	-2.032557956
0.05	1	None	KHAO HAWM	-2.995732274
0.097	1	None	KITRANA 508	-2.3330443
0.134	1	None	Pai Hok Glutinous	-2.009915479
0.096	1	None	SML 242	-2.343407088
0.106	1	None	JC149	-2.244316185
0.065	1	None	WC 4419	-2.733368009
0.075	1	None	IR 36	-2.590267165
0.047	1	None	DEOKJEOKJODO	-3.057607677
0.124	1	None	BLACK GORA	-2.087473713
0.093	1	None	PATE BLANC MN 1	-2.375155786
0.085	1	None	YRL-1	-2.465104022
0.095	1	None	1021	-2.353878387
0.136	1	None	BALDO	-1.995100393
0.059	1	None	Dosel	-2.830217835
0.076	1	None	9524	-2.577021939
0.042	1	None	BLUE ROSE	-3.170085661
0.109	1	None	Aijiaonante	-2.216407397
0.085	1	None	BR24	-2.465104022
0.072	1	None	583	-2.63108916
0.107	1	None	Priano Guaira	-2.234926445
0.097	1	None	Bergreis	-2.3330443
0.068	1	None	TONDOK	-2.688247574
0.059	1	None	LEMONT	-2.830217835
0.095	1	None	PAUNG MALAUNG	-2.353878387
0.078	1	None	519	-2.551046452
0.094	1	None	BLUE ROSE SUPREME	-2.364460497
0.084	1	None	Caucasica	-2.47693848
0.073	1	None	WC 4443	-2.617295838
0.064	1	None	SHINRIKI	-2.748872196
0.101	1	None	318	-2.292634762
0.073	1	None	TAICHUNG NATIVE 1	-2.617295838
0.124	1	None	LA 110	-2.087473713
0.077	1	None	T26	-2.563949857
0.081	1	None	KPF-16	-2.513306124
0.151	1	None	Sadri Tor Misri	-1.890475442
0.11	1	None	CHINA 1039	-2.207274913
0.051	1	None	ARIAS	-2.975929646
0.077	1	None	AGOSTANO	-2.563949857
0.07	1	None	FORTUNA	-2.659260037
0.071	1	None	Mojito Colorado	-2.645075402
0.058	1	None	LUK TAKHAR	-2.847312268
0.12	1	None	CENIT	-2.120263536
0.079	1	None	CI 11026	-2.538307427
0.115	1	None	OSOGOVKA	-2.162823151
0.083	1	None	Kon Suito	-2.488914671
0.077	1	None	BELLARDONE	-2.563949857
0.074	1	None	BASMATI 217	-2.603690186
0.103	1	None	KUN-MIN-TSIEH-HUNAN	-2.273026291
0.104	1	None	SRI MALAYSIA DUA	-2.26336438
0.055	1	None	56-122-23	-2.900422094
0.105	1	None	PEH-KUH-TSAO-TU	-2.253794929
0.078	1	None	325	-2.551046452
0.121	1	None	WC 6	-2.111964733
0.09	1	None	PAPPAKU	-2.407945609
0.119	1	None	GHATI KAMMA NANGARHAR	-2.128631786
0.102	1	None	PAGAIYAHAN	-2.282782466
0.144	1	None	P 737	-1.937941979
0.085	1	None	EMATA A 16-34	-2.465104022
0.117	1	None	British Honduras Creole	-2.145581344
0.076	1	None	ASSE Y PUNG	-2.577021939
0.11	1	None	Niquen	-2.207274913
0.065	1	None	IR-44595	-2.733368009
0.049	1	None	MANSAKU	-3.015934981
0.086	1	None	KALAMKATI	-2.453407983
0.104	1	None	NPE 844	-2.26336438
0.103	1	None	PADI KASALLE	-2.273026291
0.09	1	None	Djimoron	-2.407945609
0.1	1	None	DNJ 140	-2.302585093
0.084	1	AMF+RP	IAC 25	-2.47693848
0.05	1	AMF+RP	JAMBU	-2.995732274
0.057	1	AMF+RP	SUNG LIAO 2	-2.864704011
0.051	1	AMF+RP	NOVA	-2.975929646
0.05	1	AMF+RP	KALUBALA VEE	-2.995732274
0.061	1	AMF+RP	AZUCENA	-2.796881415
0.097	1	AMF+RP	NIRA	-2.3330443
0.03	1	AMF+RP	KHAO HAWM	-3.506557897
0.047	1	AMF+RP	KITRANA 508	-3.057607677
0.064	1	AMF+RP	Pai Hok Glutinous	-2.748872196
0.058	1	AMF+RP	SML 242	-2.847312268
0.101	1	AMF+RP	JC149	-2.292634762
0.043	1	AMF+RP	WC 4419	-3.146555163
0.049	1	AMF+RP	IR 36	-3.015934981
0.046	1	AMF+RP	DEOKJEOKJODO	-3.079113882
0.093	1	AMF+RP	BLACK GORA	-2.375155786
0.055	1	AMF+RP	PATE BLANC MN 1	-2.900422094
0.06	1	AMF+RP	YRL-1	-2.813410717
0.079	1	AMF+RP	1021	-2.538307427
0.109	1	AMF+RP	BALDO	-2.216407397
0.036	1	AMF+RP	Dosel	-3.324236341
0.067	1	AMF+RP	9524	-2.70306266
0.066	1	AMF+RP	BLUE ROSE	-2.718100537
0.082	1	AMF+RP	Aijiaonante	-2.501036032
0.066	1	AMF+RP	BR24	-2.718100537
0.051	1	AMF+RP	583	-2.975929646
0.072	1	AMF+RP	Priano Guaira	-2.63108916
0.031	1	AMF+RP	Bergreis	-3.473768074
0.039	1	AMF+RP	TONDOK	-3.244193633
0.051	1	AMF+RP	LEMONT	-2.975929646
0.076	1	AMF+RP	PAUNG MALAUNG	-2.577021939
0.068	1	AMF+RP	519	-2.688247574
0.054	1	AMF+RP	BLUE ROSE SUPREME	-2.918771232
0.06	1	AMF+RP	Caucasica	-2.813410717
0.068	1	AMF+RP	WC 4443	-2.688247574
0.062	1	AMF+RP	SHINRIKI	-2.780620894
0.06	1	AMF+RP	318	-2.813410717
0.079	1	AMF+RP	TAICHUNG NATIVE 1	-2.538307427
0.062	1	AMF+RP	LA 110	-2.780620894
0.056	1	AMF+RP	T26	-2.882403588
0.063	1	AMF+RP	KPF-16	-2.764620553
0.11	1	AMF+RP	Sadri Tor Misri	-2.207274913
0.084	1	AMF+RP	CHINA 1039	-2.47693848
0.033	1	AMF+RP	ARIAS	-3.411247718
0.076	1	AMF+RP	AGOSTANO	-2.577021939
0.052	1	AMF+RP	FORTUNA	-2.95651156
0.046	1	AMF+RP	Mojito Colorado	-3.079113882
0.025	1	AMF+RP	LUK TAKHAR	-3.688879454
0.059	1	AMF+RP	CENIT	-2.830217835
0.058	1	AMF+RP	CI 11026	-2.847312268
0.063	1	AMF+RP	OSOGOVKA	-2.764620553
0.084	1	AMF+RP	Kon Suito	-2.47693848
0.057	1	AMF+RP	BELLARDONE	-2.864704011
0.047	1	AMF+RP	BASMATI 217	-3.057607677
0.083	1	AMF+RP	KUN-MIN-TSIEH-HUNAN	-2.488914671
0.059	1	AMF+RP	SRI MALAYSIA DUA	-2.830217835
0.042	1	AMF+RP	56-122-23	-3.170085661
0.04	1	AMF+RP	PEH-KUH-TSAO-TU	-3.218875825
0.063	1	AMF+RP	325	-2.764620553
0.058	1	AMF+RP	WC 6	-2.847312268
0.069	1	AMF+RP	PAPPAKU	-2.673648774
0.057	1	AMF+RP	GHATI KAMMA NANGARHAR	-2.864704011
0.055	1	AMF+RP	PAGAIYAHAN	-2.900422094
0.042	1	AMF+RP	P 737	-3.170085661
0.052	1	AMF+RP	EMATA A 16-34	-2.95651156
0.063	1	AMF+RP	British Honduras Creole	-2.764620553
0.065	1	AMF+RP	ASSE Y PUNG	-2.733368009
0.078	1	AMF+RP	Niquen	-2.551046452
0.044	1	AMF+RP	IR-44595	-3.123565645
0.044	1	AMF+RP	MANSAKU	-3.123565645
0.067	1	AMF+RP	KALAMKATI	-2.70306266
0.062	1	AMF+RP	NPE 844	-2.780620894
0.075	1	AMF+RP	PADI KASALLE	-2.590267165
0.068	1	AMF+RP	Djimoron	-2.688247574
0.055	1	AMF+RP	DNJ 140	-2.900422094
0.086	1	RP	IAC 25	-2.453407983
0.097	1	RP	JAMBU	-2.3330443
0.089	1	RP	SUNG LIAO 2	-2.419118909
0.055	1	RP	NOVA	-2.900422094
0.199	1	RP	KALUBALA VEE	-1.614450454
0.06	1	RP	AZUCENA	-2.813410717
0.103	1	RP	NIRA	-2.273026291
