ShootBiomass	PSource	Species
2.32	DG6P	Vaccinium
4.66	DG6P	Vaccinium
4.64	DG6P	Vaccinium
6.84	DG6P	Vaccinium
0.29	DG6P	Vaccinium
2.36	DG6P	Vaccinium
0.73	DG6P	Vaccinium
5.73	DG6P	Vaccinium
1.56	DG6P	Vaccinium
4.84	DG6P	Vaccinium
1.1	DG6P	Vaccinium
1.39	DG6P	Vaccinium
0.6	DG6P	Vaccinium
0.72	DG6P	Vaccinium
1.93	DG6P	Vaccinium
297	DG6P	Deschampsia
184	DG6P	Deschampsia
144	DG6P	Deschampsia
222	DG6P	Deschampsia
124	DG6P	Deschampsia
209	DG6P	Deschampsia
120	DG6P	Deschampsia
122	DG6P	Deschampsia
112	DG6P	Deschampsia
224	DG6P	Deschampsia
260	DG6P	Deschampsia
158	DG6P	Deschampsia
238	DG6P	Deschampsia
53	DG6P	Deschampsia
134	DG6P	Deschampsia
0.42	PASS	Vaccinium
1.34	PASS	Vaccinium
0.71	PASS	Vaccinium
0.71	PASS	Vaccinium
1.06	PASS	Vaccinium
1.31	PASS	Vaccinium
0.82	PASS	Vaccinium
2.31	PASS	Vaccinium
0.5	PASS	Vaccinium
2.45	PASS	Vaccinium
0.88	PASS	Vaccinium
1.32	PASS	Vaccinium
0.78	PASS	Vaccinium
3.18	PASS	Vaccinium
0.79	PASS	Vaccinium
310	PASS	Deschampsia
55	PASS	Deschampsia
230	PASS	Deschampsia
291	PASS	Deschampsia
169	PASS	Deschampsia
174	PASS	Deschampsia
110	PASS	Deschampsia
129	PASS	Deschampsia
167	PASS	Deschampsia
140	PASS	Deschampsia
352	PASS	Deschampsia
230	PASS	Deschampsia
250	PASS	Deschampsia
243	PASS	Deschampsia
161	PASS	Deschampsia
0.29	SP	Vaccinium
0.62	SP	Vaccinium
0.86	SP	Vaccinium
1.69	SP	Vaccinium
0.43	SP	Vaccinium
1.65	SP	Vaccinium
0.62	SP	Vaccinium
0.51	SP	Vaccinium
0.82	SP	Vaccinium
2.24	SP	Vaccinium
0.92	SP	Vaccinium
0.93	SP	Vaccinium
0.37	SP	Vaccinium
0.35	SP	Vaccinium
0.4	SP	Vaccinium
99	SP	Deschampsia
111	SP	Deschampsia
62	SP	Deschampsia
60	SP	Deschampsia
104	SP	Deschampsia
80	SP	Deschampsia
53	SP	Deschampsia
166	SP	Deschampsia
63	SP	Deschampsia
182	SP	Deschampsia
70	SP	Deschampsia
121	SP	Deschampsia
204	SP	Deschampsia
86	SP	Deschampsia
0.36	SP	Deschampsia
4.6	mix	Vaccinium
7.36	mix	Vaccinium
4.78	mix	Vaccinium
2.66	mix	Vaccinium
2.99	mix	Vaccinium
10	mix	Vaccinium
1.46	mix	Vaccinium
0.96	mix	Vaccinium
0.67	mix	Vaccinium
0.68	mix	Vaccinium
1.55	mix	Vaccinium
0.47	mix	Vaccinium
1.01	mix	Vaccinium
2.27	mix	Vaccinium
2.29	mix	Vaccinium
203	mix	Deschampsia
133	mix	Deschampsia
202	mix	Deschampsia
195	mix	Deschampsia
181	mix	Deschampsia
297	mix	Deschampsia
192	mix	Deschampsia
251	mix	Deschampsia
116	mix	Deschampsia
188	mix	Deschampsia
404	mix	Deschampsia
256	mix	Deschampsia
338	mix	Deschampsia
277	mix	Deschampsia
288	mix	Deschampsia
