Phos	River	CO2	AGR
0.870323784	Feltie	6.047006029	1.113109265
3.319495776	Ottaland	8.178492499	0.985470781
0.47344364	Smoll	8.806937528	0.693007756
0.562565236	Feltie	2.160546767	1.0441856
0.768294994	Ottaland	8.851051929	0.951156321
0.634135802	Smoll	10.12530507	0.912969458
1.95544941	Feltie	3.069262164	1.035897313
0.427836305	Ottaland	8.070001834	0.834409083
2.906078285	Smoll	9.882338131	0.942141213
0.992567227	Feltie	6.084871478	1.144098421
0.668392241	Ottaland	8.272097864	0.946790522
2.052601349	Smoll	9.079159021	0.801582219
0.835221221	Feltie	2.668368775	1.013744159
2.846786342	Ottaland	6.405594012	0.867456959
1.493698006	Smoll	7.124058012	0.708218851
3.882153572	Feltie	6.598032814	1.104108422
1.019412662	Ottaland	6.332394125	1.010594571
0.625366225	Smoll	10.00189928	0.850466749
0.158395233	Feltie	2.758775666	1.001533718
0.755979561	Ottaland	5.439394659	0.948646019
0.216369085	Smoll	10.16073659	0.845233634
12.75794303	Feltie	3.782826742	0.923925407
0.33894048	Ottaland	4.762529622	0.951083344
0.240605214	Smoll	10.809326	0.948021103
1.524464775	Feltie	6.484822908	1.201001404
2.184458776	Ottaland	5.02081937	0.948440005
0.40679424	Smoll	8.486718795	0.830095582
0.604188388	Feltie	4.445791898	0.850571401
0.787120493	Ottaland	8.457099587	0.999701887
3.215554891	Smoll	10.17183673	0.922313283
0.450166102	Feltie	2.760755717	1.07866897
3.356702905	Ottaland	4.389009749	0.911666932
0.294800572	Smoll	10.59849174	0.818512519
0.996584759	Feltie	2.50889758	1.089828156
2.071386759	Ottaland	4.47621401	1.008958919
0.605722086	Smoll	6.969208203	0.787618734
1.196543996	Feltie	2.184117965	0.96459275
1.062012881	Ottaland	6.805427039	0.760400213
1.126994708	Smoll	7.171964079	0.76708852
0.976431008	Feltie	6.909060193	1.111200069
0.501420738	Ottaland	7.098773536	0.893201617
0.551829871	Smoll	10.06753304	0.877176421
0.096403024	Feltie	6.00082449	1.017289944
0.166266612	Ottaland	8.498325648	0.889957644
0.883877576	Smoll	9.760151885	0.76354496
