"max_depth" "species" "oxygen"
271.5 "Mako" 3.19
495.2 "Great White" 5.42
324.7 "Blue" 6.63
334.6 "Great White" 1.48
303.8 "Blue" 5.64
499.2 "Great White" 5.76
259.4 "Mako" 4.14
299.2 "Mako" 4.18
457.2 "Great White" 4.15
431.3 "Great White" 3.66
432.1 "Great White" 4.28
258.6 "Blue" 3.5
443 "Great White" 3.84
490.1 "Great White" 5.1
314 "Blue" 6.44
496.6 "Great White" 4.83
444.6 "Great White" 4.23
270.8 "Mako" 3.63
259.5 "Mako" 3.74
318.3 "Mako" 8.62
291 "Blue" 5.2
284.6 "Mako" 4.26
289.2 "Mako" 4.34
503.4 "Great White" 5.69
415.7 "Great White" 3.96
232.1 "Blue" 2.83
514 "Great White" 5.86
389.9 "Great White" 3.46
268.5 "Mako" 4.98
282.7 "Blue" 3.6
322.7 "Blue" 6.65
285.2 "Mako" 4.29
429.5 "Great White" 3.94
270.5 "Mako" 4.25
396.8 "Great White" 2.56
264.5 "Mako" 3.25
252 "Blue" 1.73
264.2 "Mako" 2.99
277.9 "Mako" 4.56
450 "Great White" 4.3
348.1 "Blue" 7.17
271.7 "Mako" 3.4
430.1 "Great White" 3.72
301.1 "Blue" 4.58
285 "Blue" 3.51
400.2 "Great White" 3.55
227.3 "Mako" 3.34
242.7 "Mako" 3.12
434.4 "Great White" 4.21
250.9 "Mako" 4.25
249.7 "Mako" 2.29
458.2 "Great White" 4.13
288.4 "Mako" 3.34
421.9 "Great White" 3.48
300.9 "Blue" 4.76
522.9 "Great White" 5.84
269.5 "Mako" 7.47
448 "Great White" 3.84
276.5 "Mako" 7.41
409.6 "Great White" 3.26
281.4 "Mako" 5.98
371.6 "Blue" 8.82
304.8 "Blue" 4.95
294.9 "Blue" 4
465.3 "Great White" 4.99
364 "Blue" 7.67
276.1 "Mako" 3.29
283.8 "Mako" 7.05
303.3 "Blue" 6.99
491.3 "Great White" 5.5
304.8 "Blue" 5.01
264.4 "Mako" 4.32
268 "Mako" 4.45
324.8 "Blue" 5.97
356.8 "Blue" 8.11
477.4 "Great White" 4.77
401.6 "Great White" 2.91
284.4 "Mako" 3.91
271.8 "Mako" 5.39
446.9 "Great White" 4.52
482.3 "Great White" 4.73
472.5 "Great White" 4.75
272.6 "Mako" 2.94
299.3 "Blue" 4.74
323.1 "Blue" 6.28
327.9 "Blue" 6.05
261.2 "Mako" 5.82
256.7 "Mako" 4.4
259.7 "Mako" 4.71
271.4 "Blue" 3.21
301.3 "Mako" 4.92
509.2 "Great White" 5.38
615 "Great White" 7.56
285.5 "Mako" 6.5
449.5 "Great White" 4.26
512.2 "Great White" 5.53
287.3 "Mako" 3.3
300.1 "Blue" 6.32
519.2 "Great White" 6.46
601.8 "Great White" 8.18
319.1 "Blue" 5.62
258.6 "Mako" 4.29
474.9 "Great White" 5.1
266.7 "Blue" 4.25
279.8 "Mako" 3.76
488.6 "Great White" 5.25
433.9 "Great White" 3.66
318.7 "Blue" 5.25
306.7 "Blue" 5.53
444.8 "Great White" 4.92
285 "Blue" 4.71
277.4 "Mako" 4.03
307.8 "Blue" 3.34
298 "Blue" 6.27
466.2 "Great White" 5.03
335 "Blue" 6.25
272 "Mako" 3.13
284.5 "Mako" 5.25
511.7 "Great White" 6.01
301.2 "Blue" 4.96
286.6 "Mako" 4.71
262.6 "Blue" 3.83
585.8 "Great White" 8.09
307.7 "Mako" 6.13
556.8 "Great White" 7.74
269.2 "Mako" 5.12
293.5 "Mako" 4.05
246.6 "Blue" 2.73
264.2 "Mako" 4.05
267.2 "Mako" 5.34
290.1 "Mako" 6.52
283.3 "Mako" 5.38
264.4 "Mako" 3.24
302 "Blue" 6
252.8 "Mako" 2.52
467.9 "Great White" 4.45
290.5 "Mako" 4.53
351.5 "Great White" 2.08
531.7 "Great White" 6.38
427.1 "Great White" 4.07
458.7 "Great White" 4.5
302.1 "Mako" 7.09
303.6 "Blue" 5.96
277.5 "Blue" 4.84
512.1 "Great White" 5.77
511.8 "Great White" 5.6
579.1 "Great White" 7.49
283.5 "Mako" 5.41
301.8 "Blue" 5.76
509.1 "Great White" 5.52
435 "Great White" 4.43
275.3 "Mako" 5.15
351.7 "Blue" 7.46
269.3 "Blue" 3.69
291.1 "Mako" 5.18
561.9 "Great White" 7.04
306.9 "Blue" 4.65
422.5 "Great White" 3.42
439.6 "Great White" 3.7
