"time" "cond" "rat" "values"
"1" 0 "Placebo" 1 100
"2" 1 "Placebo" 1 79.8
"3" 2 "Placebo" 1 68.2
"4" 3 "Placebo" 1 59.6
"5" 4 "Placebo" 1 53.5
"6" 5 "Placebo" 1 49.5
"7" 6 "Placebo" 1 45.5
"8" 7 "Placebo" 1 41.4
"9" 8 "Placebo" 1 36.4
"10" 9 "Placebo" 1 32.3
"11" 10 "Placebo" 1 29.8
"12" 11 "Placebo" 1 26.8
"13" 12 "Placebo" 1 24.2
"14" 13 "Placebo" 1 22.2
"15" 14 "Placebo" 1 20.2
"16" 0 "Pinacidil" 1 100
"17" 1 "Pinacidil" 1 42.7
"18" 2 "Pinacidil" 1 29.9
"19" 3 "Pinacidil" 1 19.7
"20" 4 "Pinacidil" 1 12.8
"21" 5 "Pinacidil" 1 10.7
"22" 6 "Pinacidil" 1 9.4
"23" 7 "Pinacidil" 1 8.5
"24" 8 "Pinacidil" 1 8.1
"25" 9 "Pinacidil" 1 7.7
"26" 10 "Pinacidil" 1 7.3
"27" 11 "Pinacidil" 1 7.7
"28" 12 "Pinacidil" 1 7.7
"29" 13 "Pinacidil" 1 7.7
"30" 14 "Pinacidil" 1 7.7
"31" 0 "Placebo" 2 100
"32" 1 "Placebo" 2 81.2
"33" 2 "Placebo" 2 70.8
"34" 3 "Placebo" 2 63.1
"35" 4 "Placebo" 2 58.1
"36" 5 "Placebo" 2 53.1
"37" 6 "Placebo" 2 50.8
"38" 7 "Placebo" 2 45.4
"39" 8 "Placebo" 2 40.8
"40" 9 "Placebo" 2 37.7
"41" 10 "Placebo" 2 34.2
"42" 11 "Placebo" 2 29.6
"43" 12 "Placebo" 2 27.7
"44" 13 "Placebo" 2 26.5
"45" 14 "Placebo" 2 26.2
"46" 0 "Pinacidil" 2 100
"47" 1 "Pinacidil" 2 79
"48" 2 "Pinacidil" 2 66.4
"49" 3 "Pinacidil" 2 50.4
"50" 4 "Pinacidil" 2 42.9
"51" 5 "Pinacidil" 2 37.8
"52" 6 "Pinacidil" 2 34.5
"53" 7 "Pinacidil" 2 31.9
"54" 8 "Pinacidil" 2 31.1
"55" 9 "Pinacidil" 2 29.8
"56" 10 "Pinacidil" 2 28.2
"57" 11 "Pinacidil" 2 28.2
"58" 12 "Pinacidil" 2 26.1
"59" 13 "Pinacidil" 2 26.1
"60" 14 "Pinacidil" 2 24.4
"61" 0 "Placebo" 3 100
"62" 1 "Placebo" 3 66.7
"63" 2 "Placebo" 3 56.3
"64" 3 "Placebo" 3 52.4
"65" 4 "Placebo" 3 46.4
"66" 5 "Placebo" 3 40.1
"67" 6 "Placebo" 3 34.5
"68" 7 "Placebo" 3 30.2
"69" 8 "Placebo" 3 26.2
"70" 9 "Placebo" 3 23
"71" 10 "Placebo" 3 20.6
"72" 11 "Placebo" 3 19
"73" 12 "Placebo" 3 18.3
"74" 13 "Placebo" 3 18.3
"75" 14 "Placebo" 3 18.3
"76" 0 "Pinacidil" 3 100
"77" 1 "Pinacidil" 3 64.2
"78" 2 "Pinacidil" 3 48.8
"79" 3 "Pinacidil" 3 39.8
"80" 4 "Pinacidil" 3 30.9
"81" 5 "Pinacidil" 3 25.6
"82" 6 "Pinacidil" 3 22
"83" 7 "Pinacidil" 3 21.1
"84" 8 "Pinacidil" 3 20.3
"85" 9 "Pinacidil" 3 18.7
"86" 10 "Pinacidil" 3 17.5
"87" 11 "Pinacidil" 3 16.7
"88" 12 "Pinacidil" 3 15.4
"89" 13 "Pinacidil" 3 15
"90" 14 "Pinacidil" 3 15
"91" 0 "Placebo" 4 100
"92" 1 "Placebo" 4 64.3
"93" 2 "Placebo" 4 48.4
"94" 3 "Placebo" 4 37.7
"95" 4 "Placebo" 4 31.6
"96" 5 "Placebo" 4 29.5
"97" 6 "Placebo" 4 27
"98" 7 "Placebo" 4 23.8
"99" 8 "Placebo" 4 20.5
"100" 9 "Placebo" 4 17.6
"101" 10 "Placebo" 4 15.6
"102" 11 "Placebo" 4 13.9
"103" 12 "Placebo" 4 12.7
"104" 13 "Placebo" 4 11.5
"105" 14 "Placebo" 4 11.1
"106" 0 "Pinacidil" 4 100
"107" 1 "Pinacidil" 4 47.6
"108" 2 "Pinacidil" 4 30.6
"109" 3 "Pinacidil" 4 21
"110" 4 "Pinacidil" 4 17.3
"111" 5 "Pinacidil" 4 16.5
"112" 6 "Pinacidil" 4 15.3
"113" 7 "Pinacidil" 4 14.5
"114" 8 "Pinacidil" 4 12.9
"115" 9 "Pinacidil" 4 12.9
"116" 10 "Pinacidil" 4 11.7
"117" 11 "Pinacidil" 4 10.9
"118" 12 "Pinacidil" 4 10.9
"119" 13 "Pinacidil" 4 12.5
"120" 14 "Pinacidil" 4 10.9
"121" 0 "Placebo" 5 100
"122" 1 "Placebo" 5 81.5
"123" 2 "Placebo" 5 69.8
"124" 3 "Placebo" 5 62.5
"125" 4 "Placebo" 5 56.5
"126" 5 "Placebo" 5 54
"127" 6 "Placebo" 5 50
"128" 7 "Placebo" 5 45.2
"129" 8 "Placebo" 5 41.5
"130" 9 "Placebo" 5 37.1
"131" 10 "Placebo" 5 29.8
"132" 11 "Placebo" 5 27.4
"133" 12 "Placebo" 5 26.6
"134" 13 "Placebo" 5 25.4
"135" 14 "Placebo" 5 23.4
"136" 0 "Pinacidil" 5 100
"137" 1 "Pinacidil" 5 88.1
"138" 2 "Pinacidil" 5 77.9
"139" 3 "Pinacidil" 5 63.9
"140" 4 "Pinacidil" 5 46.7
