north_barley	north_meadow	south_barley	south_meadow
53	94	93	42
37	68	43	118
50	66	72	80
48	71	68	113
50	78	53	94
52	80	53	80
69	92	31	59
52	79	37	59
67	85	56	93
31	92	62	86
53	104	48	56
44	73	75	81
54	87	86	61
56	85	-10	41
42	65	112	66
57	69	74	50
42	69	84	104
46	86	78	75
58	69	36	66
68	87	-8	42
35	86	81	63
46	83	22	51
46	83	69	103
52	61	65	54
36	67	40	63
41	77	25	44
53	77	17	65
50	72	58	42
57	70	79	86
47	74	36	127
66	76	32	94
46	77	18	81
37	84	42	125
62	91	44	117
46	91	76	83
42	55	41	112
64	89	67	90
64	83	98	84
38	85	26	109
42	83	16	79
49	68	59	89
43	82	77	103
38	65	10	84
58	66	48	14
41	89	105	88
45	64	80	81
46	76	16	127
51	80	47	118
30	73	87	61
35	73	75	60
