"lake_size" "phosphorous" "country" "weight_trawl" "num_species"
33.6 0.265 "Cambodia" 65.2 5
74.6 1.029 "Cambodia" 80.48 8
43.5 0.382 "Cambodia" 68.21 2
82.4 0.922 "Thailand" 88.1 18
87.1 1.073 "Cambodia" 92.55 19
13.7 0.84 "Loas" 38.28 5
53.3 0.617 "Cambodia" 72.71 9
83.2 1.078 "Loas" 68.46 13
55.2 0.763 "Thailand" 77.64 17
47.4 0.423 "Cambodia" 68.77 5
88.5 0.736 "Thailand" 85.19 21
47.2 0.211 "Loas" 65.2 4
65.6 0.461 "Loas" 61.73 12
57 0.876 "Loas" 61.52 14
18.4 0.13 "Loas" 48.53 5
83.8 0.396 "Cambodia" 93 17
30.2 0.991 "Loas" 44.81 4
13.4 1.104 "Thailand" 61.33 6
36.9 1.188 "Thailand" 61.82 4
88.3 0.202 "Loas" 71.2 26
82.9 0.238 "Loas" 79 21
66.8 1.425 "Thailand" 82.55 11
62.5 1.403 "Thailand" 81.35 5
91.5 1.39 "Loas" 72.11 21
63.8 1.01 "Cambodia" 76.79 4
68.1 0.319 "Thailand" 95.97 8
54.6 1.374 "Cambodia" 71.98 6
58.7 1.391 "Loas" 65.12 14
33.7 0.337 "Loas" 50.33 7
22.1 0.203 "Thailand" 57.95 7
89 0.893 "Thailand" 80.88 18
84 0.612 "Loas" 69.48 24
66.6 0.744 "Cambodia" 72.6 9
75.2 0.751 "Cambodia" 79.52 10
12 1.19 "Thailand" 55.36 1
49.2 1.253 "Loas" 59.46 13
72.2 0.495 "Thailand" 84.34 4
27.7 1.122 "Loas" 41.98 6
36.1 0.794 "Loas" 53.05 6
29 0.193 "Cambodia" 58.91 8
21.7 0.153 "Thailand" 59.54 7
44 0.433 "Loas" 54.7 6
43.9 0.406 "Cambodia" 79.34 4
40.2 0.691 "Thailand" 72.61 4
22.5 0.87 "Thailand" 54.49 5
21.4 1.099 "Loas" 45.57 5
29.1 0.436 "Cambodia" 59.44 7
48.2 1.354 "Loas" 53.74 15
31.8 0.776 "Loas" 51.62 9
80.3 0.468 "Cambodia" 76.85 11
13.8 0.548 "Cambodia" 56.75 1
46.3 1.03 "Thailand" 67.38 5
75.5 1.119 "Thailand" 81.04 10
20 0.9 "Loas" 33.23 6
56 1.33 "Cambodia" 74.63 12
26.9 0.673 "Loas" 41.78 6
20.5 0.388 "Cambodia" 67.41 8
71.8 0.759 "Thailand" 85.07 16
83.4 0.631 "Thailand" 85.03 8
40.7 0.447 "Cambodia" 71.18 6
64.5 1.395 "Loas" 63.42 10
17.8 0.753 "Cambodia" 62.18 1
41.5 0.12 "Thailand" 76.66 5
32.5 1.421 "Loas" 41.85 4
76.8 0.624 "Thailand" 88.38 15
46.8 0.111 "Thailand" 68.57 12
76.4 1.473 "Loas" 69.64 20
76.6 0.629 "Loas" 76.44 8
75.1 1.48 "Loas" 74.18 19
46.1 0.295 "Cambodia" 66.95 6
71.9 0.887 "Thailand" 80.3 9
61.6 1.212 "Cambodia" 67.82 7
68.2 0.371 "Thailand" 86.45 12
10.1 1.095 "Loas" 40.3 5
49 0.892 "Cambodia" 74.89 7
28 0.114 "Loas" 50.12 8
41.1 0.46 "Thailand" 70.75 9
60.2 0.759 "Cambodia" 75.72 14
38.8 1.398 "Loas" 46.51 6
19.1 1.493 "Thailand" 53.43 5
30 0.394 "Loas" 60.38 7
64.8 0.863 "Loas" 66.23 7
