HGHT	LONGEV	LEAFSIZE	SPECIES
10.1	28.1	3.3	1
8.6	4.3	4.2	1
10.3	51.6	4.4	1
9.8	231.1	3.8	1
11.8	1.4	4	1
7.5	45	3.9	1
9.6	44.8	4.3	1
7.6	75	4.3	1
11.9	197.9	3.9	1
9.5	77.7	3.9	1
8.4	298	2.9	1
6.9	97.2	3.7	1
8.2	86.7	3.6	1
7.1	44.2	4.2	1
10	328.9	0.4	1
10.4	83.5	4.5	1
11.5	70.6	3.1	1
11	3.8	4	1
3.8	77.4	3.8	1
12.2	298.6	4.2	1
7.6	0	4	1
12	26.1	4.1	1
13.3	270.7	3.9	1
7.5	1.1	2.4	1
8.9	3.6	3.8	1
14.8	17.5	3.2	2
13.6	171.4	3.6	2
15.3	47.4	4	2
10.8	259.9	4	2
15	7.5	4	2
14.6	13	3.9	2
13.8	94.9	4.5	2
10.9	404.9	4	2
12	51.4	2.3	2
17.2	54.7	4	2
16.4	3.3	3.7	2
11.8	14	3.6	2
13.3	81.2	3.7	2
9.3	0.5	4.3	2
13.6	29.6	4	2
17.9	48.5	4	2
15.6	70.4	4.2	2
21.3	30.8	3.5	2
12.1	46.6	3.7	2
13	16.7	4.3	2
11	175.5	3	2
13.2	299.7	4.1	2
15.5	42.4	3.8	2
14	0.2	3.8	2
13.7	59.1	3.8	2
