"region" "farming" "forage_dist"
"North" "Fallow" 17.42
"North" "Fallow" 14.39
"North" "Cereal" 11.26
"South" "Fallow" 10.71
"North" "Cereal" 14.18
"South" "Cereal" 16.67
"South" "Fallow" 11.37
"South" "Pasture" 18.64
"North" "Cereal" 12.1
"North" "Pasture" 13.22
"South" "Cereal" 15.41
"South" "Fallow" 6.64
"South" "Cereal" 13.52
"North" "Fallow" 18.15
"South" "Fallow" 14.27
"North" "Fallow" 18.39
"South" "Pasture" 19.57
"North" "Cereal" 8
"North" "Cereal" 14.3
"North" "Cereal" 14.87
"North" "Cereal" 11.04
"South" "Pasture" 23.58
"North" "Cereal" 5.92
"North" "Fallow" 14.91
"North" "Cereal" 12.49
"North" "Fallow" 17.14
"South" "Fallow" 9.03
"South" "Cereal" 19.26
"North" "Cereal" 10.65
"South" "Cereal" 13.07
"North" "Cereal" 11.95
"South" "Pasture" 21.44
"North" "Cereal" 10.34
"South" "Cereal" 14.56
"South" "Cereal" 15.91
"North" "Fallow" 14.88
"North" "Fallow" 16.56
"North" "Pasture" 12.79
"North" "Fallow" 18.78
"South" "Pasture" 20.74
"North" "Cereal" 10.66
"South" "Cereal" 15.53
"South" "Cereal" 17.75
"North" "Cereal" 13.83
"North" "Cereal" 12.79
"North" "Pasture" 11.81
"North" "Cereal" 7.84
"South" "Cereal" 18.75
"North" "Pasture" 12.21
"North" "Pasture" 11.95
"South" "Fallow" 11.53
"North" "Cereal" 10.84
"North" "Cereal" 10.71
"North" "Cereal" 11.31
"North" "Fallow" 13.65
"South" "Cereal" 19.72
"South" "Fallow" 11.89
"North" "Cereal" 12.87
"South" "Cereal" 17.02
"North" "Pasture" 14.39
"North" "Pasture" 9.83
"South" "Fallow" 9.71
"South" "Fallow" 12.31
"North" "Cereal" 11.02
"North" "Pasture" 16.73
"South" "Cereal" 13.13
"North" "Cereal" 8.78
"North" "Fallow" 18.25
"North" "Cereal" 13.49
"North" "Fallow" 18.17
"South" "Fallow" 12.36
"North" "Fallow" 17.81
"North" "Fallow" 14.41
"North" "Pasture" 13.26
"North" "Pasture" 9.65
"South" "Pasture" 17.73
"South" "Pasture" 14.28
"North" "Cereal" 9.75
"South" "Pasture" 20.2
"South" "Pasture" 20.14
"South" "Pasture" 18.68
"South" "Fallow" 9.65
"North" "Pasture" 14.44
"South" "Pasture" 15.55
"South" "Pasture" 18.84
"South" "Cereal" 14.78
"North" "Cereal" 9.59
"North" "Pasture" 12.24
"South" "Fallow" 10.09
"North" "Pasture" 12.14
"South" "Fallow" 12.9
"South" "Cereal" 17.01
"North" "Fallow" 17.67
"South" "Fallow" 14.82
"South" "Fallow" 9.92
"North" "Cereal" 15.15
"North" "Cereal" 10.94
"South" "Cereal" 14.48
"North" "Pasture" 13.39
"North" "Pasture" 12.23
"North" "Cereal" 13.41
"South" "Cereal" 15.39
"South" "Pasture" 20.67
"North" "Cereal" 12.21
"South" "Pasture" 19.42
"South" "Fallow" 12.06
"North" "Cereal" 14.6
"North" "Cereal" 9.07
"North" "Pasture" 8.75
"South" "Fallow" 12.38
"South" "Pasture" 22.49
"South" "Fallow" 12.16
"South" "Cereal" 15.06
"North" "Fallow" 13.54
"North" "Pasture" 14.13
"South" "Fallow" 12.96
"South" "Pasture" 19.27
"South" "Pasture" 20.58
"North" "Cereal" 10.35
"South" "Fallow" 12.49
"North" "Cereal" 10
"South" "Fallow" 14.28
"North" "Fallow" 13.03
"North" "Fallow" 16.95
"North" "Fallow" 16.58
"South" "Cereal" 14.03
"South" "Fallow" 11.18
"North" "Cereal" 10.97
"North" "Fallow" 14.98
"North" "Cereal" 8.59
"South" "Pasture" 22.56
"North" "Fallow" 13.91
"South" "Cereal" 15.63
"South" "Pasture" 18.75
"South" "Fallow" 9.84
"South" "Pasture" 19.35
"South" "Fallow" 9.62
"South" "Pasture" 18.89
"South" "Pasture" 15.63
"North" "Cereal" 10.77
"South" "Fallow" 12.73
"South" "Pasture" 14.09
"South" "Cereal" 15.59
"North" "Cereal" 13.12
"South" "Pasture" 19.65
"South" "Fallow" 13.4
"South" "Pasture" 16.95
"North" "Fallow" 16.66
"South" "Fallow" 10.48
"South" "Fallow" 11.49
"North" "Cereal" 13.91
"South" "Fallow" 11.45
"North" "Cereal" 9.53
"South" "Cereal" 16.48
"North" "Cereal" 14.1
"North" "Fallow" 16.89
"North" "Fallow" 15.92
"North" "Pasture" 11.7
"North" "Pasture" 11.18
"North" "Cereal" 12.04
"North" "Fallow" 18.5
"South" "Fallow" 12.72
"South" "Pasture" 17.83
"South" "Pasture" 20.63
"North" "Pasture" 11.47
"South" "Pasture" 18.06
"North" "Fallow" 16.78
"North" "Cereal" 12.28
"South" "Cereal" 16.22
"North" "Pasture" 9.75
"South" "Cereal" 16.24
"South" "Fallow" 12.3
"South" "Fallow" 11.74
"South" "Pasture" 20.16
"North" "Fallow" 17.11
"North" "Cereal" 9.13
"North" "Pasture" 7.55
"South" "Cereal" 20.88
"South" "Cereal" 17.88
"South" "Pasture" 19.2
"South" "Fallow" 10.81
"North" "Cereal" 10.61
"North" "Cereal" 13.14
"North" "Fallow" 15.12
"North" "Fallow" 16.34
"South" "Fallow" 13.13
"South" "Fallow" 9.8
"North" "Cereal" 12.31
"North" "Pasture" 14.06
"South" "Pasture" 20.69
"South" "Fallow" 12.66
"North" "Pasture" 8.24
"North" "Pasture" 11.26
"South" "Pasture" 17.11
"South" "Fallow" 11.56
"North" "Pasture" 10.79
"North" "Pasture" 8.22
"South" "Fallow" 11.9
"North" "Fallow" 14.18
"South" "Pasture" 16.74
"South" "Fallow" 13.39
"South" "Pasture" 19.63
"South" "Fallow" 10.32
"North" "Fallow" 18.21
"South" "Cereal" 17.31
"South" "Fallow" 12.15
"South" "Pasture" 22.07
"North" "Cereal" 12.83
"South" "Cereal" 17.88
"South" "Pasture" 18.45
"South" "Fallow" 10.61
"North" "Cereal" 15.07
"North" "Cereal" 12.35
"South" "Pasture" 17.26
"South" "Pasture" 18.03
"South" "Pasture" 15.86
"South" "Cereal" 16.34
"North" "Fallow" 17.33
"South" "Fallow" 13.83
"North" "Pasture" 12.34
"South" "Pasture" 20.36
"North" "Pasture" 10.88
"North" "Pasture" 10.71
"North" "Fallow" 16.52
"South" "Cereal" 19.36
"South" "Pasture" 18.52
"North" "Fallow" 17.66
"North" "Cereal" 9.83
"South" "Pasture" 19.5
"North" "Pasture" 14.8
"North" "Pasture" 11.35
"South" "Fallow" 14.11
"South" "Cereal" 14.39
"North" "Fallow" 15.37
"South" "Pasture" 17.6
"South" "Cereal" 13.08
"South" "Fallow" 10.88
"South" "Cereal" 19.84
"South" "Fallow" 11.5
"North" "Fallow" 19.76
"North" "Pasture" 12.24
"South" "Fallow" 11.48
"North" "Fallow" 17.69
"South" "Fallow" 10.39
"North" "Fallow" 19.22
"North" "Fallow" 14.79
"North" "Pasture" 13.6
"South" "Cereal" 16.48
"South" "Cereal" 16.28
"South" "Pasture" 20.45
"North" "Pasture" 10.28
"South" "Pasture" 16.54
"South" "Pasture" 18.42
"North" "Fallow" 19.43
"North" "Cereal" 13.15
"North" "Cereal" 16.56
"North" "Pasture" 9.99
"North" "Fallow" 17.21
"South" "Fallow" 18.11
"North" "Pasture" 12.04
"South" "Cereal" 17.78
"South" "Pasture" 20.7
"South" "Pasture" 22.22
"North" "Cereal" 12.11
"South" "Cereal" 18.41
"North" "Pasture" 8.51
"South" "Pasture" 17.5
"North" "Fallow" 17.16
"North" "Fallow" 15.82
"North" "Pasture" 12.45
"North" "Fallow" 13.57
"North" "Pasture" 13.07
"North" "Pasture" 11.01
"South" "Fallow" 11.07
"North" "Pasture" 11.7
"South" "Pasture" 17.83
"North" "Cereal" 8.55
"North" "Pasture" 13.21
"North" "Cereal" 12.05
"North" "Fallow" 10.91
"South" "Cereal" 18.22
"South" "Pasture" 17.62
"North" "Pasture" 12.39
"North" "Fallow" 17.58
"North" "Fallow" 14.9
"South" "Cereal" 12.98
"South" "Fallow" 15.07
"South" "Pasture" 22.85
"North" "Pasture" 13.2
"South" "Pasture" 19.33
"North" "Fallow" 17.27
"North" "Cereal" 12.63
"North" "Fallow" 16.45
"North" "Pasture" 14.1
"North" "Fallow" 18.39
"South" "Pasture" 17.81
"South" "Pasture" 19.25
"South" "Cereal" 16.08
"North" "Fallow" 17.13
"North" "Fallow" 19.06
