Position_on_shore	Mass	Length	Height
UPPER.SHORE	25.58	4.92	2.18
UPPER.SHORE	28.86	5.34	2.17
UPPER.SHORE	20.56	4.94	2.33
UPPER.SHORE	32.9	5.5	2.44
UPPER.SHORE	40.17	5.64	3.02
UPPER.SHORE	24.1	4.94	2.32
UPPER.SHORE	14.15	4.23	1.81
UPPER.SHORE	24.4	4.65	2.3
UPPER.SHORE	22.94	4.84	2.13
UPPER.SHORE	17.45	5.05	1.95
UPPER.SHORE	25.17	4.96	2.13
UPPER.SHORE	14.39	4.43	1.77
UPPER.SHORE	14.59	4.52	1.76
UPPER.SHORE	21.47	4.48	2.23
UPPER.SHORE	18.09	4.22	2.31
MIDDLE.SHORE	18.19	5.14	1.94
MIDDLE.SHORE	22.75	5.09	2
MIDDLE.SHORE	21.15	5	2.04
MIDDLE.SHORE	13.17	4.29	2.06
MIDDLE.SHORE	14.45	4.11	1.27
MIDDLE.SHORE	18.31	4.74	1.71
MIDDLE.SHORE	26.1	5.11	2.09
MIDDLE.SHORE	21.44	5.08	1.8
MIDDLE.SHORE	18.56	4.96	1.9
MIDDLE.SHORE	18.35	4.58	2.02
MIDDLE.SHORE	14.05	4.51	1.13
MIDDLE.SHORE	20.01	5.07	1.94
MIDDLE.SHORE	13.42	4.3	1.97
MIDDLE.SHORE	14	4.25	1.8
LOWER.SHORE	33.28	5.77	1.93
LOWER.SHORE	22.56	5.45	1.73
LOWER.SHORE	14.51	4.82	1.48
LOWER.SHORE	12.19	4.24	1.47
LOWER.SHORE	28.06	6.12	1.98
LOWER.SHORE	22.77	5.89	1.86
LOWER.SHORE	22.99	5.31	1.9
LOWER.SHORE	16.99	5.03	1.83
LOWER.SHORE	21.91	4.96	2.08
LOWER.SHORE	17.14	5	1.85
LOWER.SHORE	13.13	4.32	2.05
LOWER.SHORE	13.29	4.43	1.35
LOWER.SHORE	14.82	4.95	1.52
LOWER.SHORE	12.2	4.44	1.41
LOWER.SHORE	44.13	6.32	2.56
