index	sex	pos	age	tarsus	weight	hares	EarlyLate	logWing	logWeight	WingLength
1	1	3	15	56.8	274	49.4	early	4.232656178	5.613128106	68.9
2	1	1	12	45.65	201	49.4	early	3.417726684	5.303304908	30.5
3	1	3	8	38.8	170	49.4	early	2.708050201	5.135798437	15
4	2	4	7	31.4	91	49.4	early	0.693147181	4.510859507	2
5	2	4	18	53.8	231	49.4	early	4.26969745	5.442417711	71.5
8	2	4	14	49.95	181	49.4	early	3.725693427	5.198497031	41.5
9	1	1	9	35.15	141	49.4	early	2.351375257	4.94875989	10.5
10	1	1	15	53	251	49.4	early	4.007333185	5.525452939	55
14	2	4	11	43.6	142	49.4	early	2.995732274	4.955827058	20
15	1	3	18	63.2	330	49.4	early	4.49980967	5.799092654	90
17	1	1	19	60	273	49.4	early	4.505349851	5.609471795	90.5
18	2	2	17	59.4	260	49.4	early	4.394449155	5.560681631	81
20	2	2	7	35.2	127	49.4	early	2.140066163	4.844187086	8.5
21	2	2	10	44.4	182	49.4	early	3.17805383	5.204006687	24
28	1	2	16	58.45	289	23.5	early	4.024994484	5.666426688	55.98
29	2	1	17	52.88	239	23.5	early	4.017463518	5.476463552	55.56
33	2	1	12	45.77	157	23.5	early	2.753023567	5.056245805	15.69
34	1	2	11	49.25	209	23.5	early	3.285038027	5.342334252	26.71
39	2	1	12	50.67	193	23.5	early	3.555348061	5.262690189	35
40	2	1	9	42	125	23.5	early	2.173614712	4.828313737	8.79
43	2	3	13	51.76	241	23.5	early	3.75419892	5.484796933	42.7
44	1	2	13	51.4	221	23.5	early	3.610917913	5.398162702	37
45	2	3	9	43.87	153	23.5	early	3.17805383	5.030437921	24
46	2	1	16	58.7	272	23.5	early	4.116106054	5.605802066	61.32
49	1	2	17	59.17	309	23.5	early	4.10148567	5.733341277	60.43
52	2	3	18	58.68	298	23.5	early	4.382026635	5.697093487	80
54	1	2	10	40.84	133	23.5	early	2.106570209	4.890349128	8.22
65	1	3	12	45.8	196	56.7	late	3.135494216	5.278114659	23
67	1	2	13	49.4	201	56.7	late	3.526360525	5.303304908	34
69	1	1	14	53.7	218	56.7	late	3.891820298	5.384495063	49
71	1	4	17	58.6	313	56.7	late	4.283586562	5.746203191	72.5
73	2	1	9	38.8	131	49.4	early	2.397895273	4.875197323	11
74	2	1	16	54	281	49.4	early	4.110873864	5.638354669	61
75	1	3	7	31	121	49.4	early	1.791759469	4.795790546	6
76	1	2	8	35.25	136	49.4	early	2.197224577	4.912654886	9
77	1	3	14	54.8	287	49.4	early	3.871201011	5.659482216	48
79	1	2	15	54.5	307	49.4	early	3.912023005	5.726847748	50
82	2	3	8	30	75	49.4	early	1.791759469	4.317488114	6
