index	Diet	GrowthR
1	Artificial	9.5585
2	Artificial	10.657
3	Artificial	10.2424
4	Artificial	9.4472
5	Artificial	10.6712
6	Artificial	10.2044
7	Artificial	10.4935
8	Artificial	9.966
9	Artificial	9.782
10	Artificial	11.0716
11	Artificial	9.1151
12	Artificial	10.0486
13	Artificial	10.925
14	Artificial	9.8355
15	Artificial	9.6948
16	Artificial	9.0871
17	Artificial	10.4186
18	Artificial	8.0696
19	Artificial	9.8316
20	Artificial	9.2525
21	Artificial	8.8289
22	Artificial	9.4892
23	Artificial	10.7487
24	Artificial	10.7183
25	Artificial	8.9992
26	Artificial	8.9554
27	Artificial	9.5803
28	Artificial	10.4603
29	Artificial	7.3952
30	Artificial	10.2763
31	Natural	9.7741
32	Natural	10.2931
33	Natural	10.0474
34	Natural	10.0808
35	Natural	9.3106
36	Natural	10.4414
37	Natural	9.846
38	Natural	10.2709
39	Natural	9.5243
40	Natural	9.5238
41	Natural	9.9583
42	Natural	9.7703
43	Natural	10.1506
44	Natural	10.0985
45	Natural	10.261
46	Natural	9.2053
47	Natural	10.9352
48	Natural	11.6317
49	Natural	9.685
50	Natural	9.7422
51	Natural	11.2128
52	Natural	10.5183
53	Natural	10.3186
54	Natural	8.6495
55	Natural	9.7894
56	Natural	9.9268
57	Natural	10.9515
58	Natural	10.0512
59	Natural	9.6838
60	Natural	9.7254
