n_setts	field_dist	tree_dist	slope	vegetation	rock	aspect
3	9.06	50.88	0.15	Dense	None	N
0	4.45	63.79	0.02	Dense	Lots	NW
1	1.56	141.14	0.16	Dense	None	N
0	3.57	46.31	0	Dense	None	SE
0	48.76	93.28	0.07	Dense	Some	S
2	30.26	34.39	0.26	Dense	None	NE
1	30.24	117.02	0.23	Dense	Some	SE
0	92.28	155.05	0.01	Dense	None	W
0	0.09	96.43	0	Sparse	Lots	E
0	6.26	147.46	0.05	Sparse	None	NW
2	5.16	36.02	0.73	Sparse	Some	E
0	7.36	137.24	0.16	Sparse	Some	NW
0	21.6	135.49	0.21	Dense	Lots	NW
1	14.94	83.19	0.25	Sparse	None	NW
0	41.92	111.61	0.01	Dense	Some	SW
0	2.74	78.25	0.06	Dense	Lots	S
2	25.62	133.76	0	Dense	None	SW
0	4.62	55.4	0.02	Dense	Some	W
0	17.71	98.79	0.01	Sparse	None	S
0	0.86	219.29	0.31	Sparse	Some	NW
1	19.8	13.23	0	Dense	None	W
1	2.6	100.04	0.03	Dense	Some	NE
1	7.35	175.11	0.02	Dense	None	SE
0	3.65	159.65	0.16	Dense	None	S
1	14.59	84.49	0	Sparse	None	W
1	7.49	83.53	0.29	Sparse	None	SW
0	43.65	145.93	0.02	Dense	Some	N
0	70.32	219.51	0	Sparse	Lots	W
0	287.34	123.87	0.01	Sparse	Lots	NE
0	58.36	87.75	0.01	Dense	Lots	S
0	0.76	119.58	0.01	Sparse	Some	W
0	8.07	85.36	0.01	Sparse	Lots	NW
1	1.36	270.74	0.09	Dense	None	NW
7	1.03	69.55	0.28	Dense	None	SW
2	1.49	94.72	0	Dense	None	N
0	21.59	173.13	0.07	Dense	None	S
0	22.54	370.5	0.12	Dense	Some	E
1	8.79	132.64	0.01	Dense	None	NE
0	4.46	252.73	0.1	Sparse	None	S
2	3.07	17.71	0.11	Sparse	None	NW
0	6.61	153.7	0.1	Dense	None	E
1	3.19	88.91	0.05	Dense	None	NW
0	442.89	71.9	0	Dense	None	NW
0	2.2	116.48	0	Sparse	None	N
0	2.05	83.38	0	Sparse	Some	W
0	22.4	108.51	0.01	Sparse	None	N
1	265.06	71.8	0.01	Sparse	None	S
1	2.91	100.52	0	Sparse	None	SE
