disp	habitat	varroa
628.9	Meadow	Present
1054.7	Meadow	Absent
1430.5	Orchard	Absent
1246.7	Orchard	Present
1042.1	Orchard	Absent
760.8	Meadow	Absent
1176.2	Orchard	Absent
834.3	Meadow	Absent
1364.5	Urban	Absent
954.2	Orchard	Absent
1192.1	Urban	Absent
890.4	Urban	Present
1360.2	Urban	Absent
594	Orchard	Present
931	Urban	Present
1405.3	Urban	Present
1200.1	Orchard	Present
1080.5	Meadow	Absent
690.9	Meadow	Present
764.8	Urban	Absent
979	Meadow	Present
1421.5	Urban	Absent
1151.4	Meadow	Present
1416.1	Urban	Absent
602.4	Urban	Absent
850.3	Meadow	Absent
1438.4	Meadow	Present
1312.1	Urban	Absent
1444.2	Urban	Absent
1226.8	Urban	Present
839.7	Orchard	Absent
846.5	Meadow	Absent
1155.7	Urban	Absent
1568.7	Urban	Absent
656.9	Orchard	Present
582.5	Orchard	Present
894.8	Urban	Present
1095.5	Meadow	Absent
941.2	Orchard	Present
895.7	Orchard	Present
1423.4	Urban	Present
781.5	Orchard	Absent
1118.2	Orchard	Present
782.1	Meadow	Present
669.1	Meadow	Absent
1080.8	Orchard	Absent
892.5	Orchard	Present
1176.1	Urban	Present
983.4	Meadow	Present
869.9	Urban	Absent
388.6	Meadow	Present
1058.4	Orchard	Absent
838.7	Urban	Present
1444.1	Urban	Absent
1154	Urban	Absent
1335.5	Urban	Absent
1523.5	Urban	Absent
852.9	Orchard	Absent
878.7	Urban	Present
835.2	Meadow	Absent
1373.1	Orchard	Absent
1491.6	Urban	Absent
1029.2	Meadow	Present
1063.9	Urban	Absent
669.6	Orchard	Present
861.3	Urban	Present
1313.5	Orchard	Absent
909.2	Orchard	Absent
760.2	Orchard	Absent
1132.1	Orchard	Present
1055.4	Urban	Present
996.7	Urban	Absent
955.2	Urban	Present
458.5	Meadow	Present
793	Meadow	Absent
1458.5	Orchard	Present
1129.3	Orchard	Present
1267.1	Urban	Present
519.7	Orchard	Absent
1182.4	Urban	Present
816.9	Meadow	Present
1329	Orchard	Absent
144.1	Orchard	Present
594.3	Orchard	Absent
805.8	Urban	Present
1808.5	Orchard	Present
1102.3	Orchard	Absent
1131.3	Urban	Absent
1060.3	Orchard	Absent
1109.9	Urban	Present
1118.7	Urban	Absent
1549.9	Urban	Absent
1739.6	Urban	Present
865.4	Meadow	Absent
870.7	Orchard	Absent
1159.6	Urban	Present
458.1	Meadow	Absent
1310.2	Orchard	Absent
1047.8	Meadow	Absent
1031.7	Meadow	Absent
727	Meadow	Present
699.6	Meadow	Present
656.8	Meadow	Present
1124.6	Meadow	Absent
996	Orchard	Present
1218.7	Meadow	Absent
794.6	Orchard	Absent
807.7	Urban	Present
928.8	Urban	Present
861.8	Urban	Absent
1367.1	Urban	Absent
803.5	Orchard	Absent
1054.5	Urban	Present
1343.5	Urban	Absent
711.1	Orchard	Absent
1557.6	Urban	Present
1369.5	Orchard	Absent
601.6	Meadow	Present
871.9	Meadow	Present
475.6	Meadow	Present
1000.6	Meadow	Absent
1288.7	Meadow	Absent
1116.3	Orchard	Present
501.8	Meadow	Present
1481.5	Urban	Absent
425.7	Meadow	Present
1190.5	Orchard	Absent
717.2	Urban	Absent
981.4	Meadow	Absent
939	Urban	Present
469.9	Meadow	Present
714.2	Orchard	Present
812.4	Meadow	Present
907.8	Orchard	Absent
979.3	Meadow	Absent
825.8	Urban	Absent
1124.1	Urban	Absent
1035.2	Orchard	Present
593	Meadow	Absent
1280.9	Urban	Absent
630.7	Meadow	Absent
423.4	Meadow	Absent
538.7	Meadow	Present
1136.7	Urban	Absent
437.2	Orchard	Present
1006.9	Meadow	Present
432	Meadow	Absent
925.4	Orchard	Absent
1016.3	Urban	Absent
1166.5	Urban	Absent
1135.8	Orchard	Present
1351.8	Urban	Absent
1055.4	Orchard	Absent
1138.4	Urban	Present
658.7	Meadow	Present
1056.5	Urban	Present
1095.8	Orchard	Absent
715.1	Meadow	Absent
948.9	Orchard	Absent
1066	Urban	Absent
759.1	Meadow	Absent
908.9	Orchard	Present
473.2	Orchard	Present
1527.2	Orchard	Absent
881.9	Meadow	Absent
1026.9	Orchard	Absent
899.5	Meadow	Present
835.4	Orchard	Absent
1124.7	Orchard	Present
1103.4	Meadow	Present
1323.2	Meadow	Present
1539.1	Urban	Present
287.5	Meadow	Absent
936.8	Meadow	Absent
347.8	Meadow	Absent
1474	Urban	Present
1443.5	Urban	Absent
965.2	Urban	Absent
1087.8	Urban	Absent
874.6	Orchard	Present
888.7	Orchard	Absent
968	Urban	Present
1041.7	Urban	Present
814	Orchard	Present
1213.4	Orchard	Absent
774.3	Urban	Absent
419	Urban	Present
1184.2	Meadow	Present
644.1	Orchard	Present
772.4	Meadow	Absent
1282.9	Meadow	Absent
1099.5	Orchard	Present
910.5	Orchard	Absent
1005.9	Orchard	Absent
803.3	Meadow	Present
915.4	Meadow	Absent
936.8	Urban	Present
1547.1	Urban	Absent
1211.6	Urban	Present
693.4	Meadow	Absent
671.6	Meadow	Absent
634.5	Meadow	Present
734.1	Orchard	Present
677.8	Urban	Present
896.2	Urban	Absent
827.8	Orchard	Absent
980.1	Orchard	Absent
1040.3	Orchard	Absent
532	Orchard	Present
907.7	Urban	Present
1034.3	Orchard	Absent
560.3	Meadow	Present
1239.3	Orchard	Absent
923.5	Urban	Present
1300.4	Urban	Present
1018.3	Orchard	Absent
1260	Orchard	Present
1101.9	Urban	Absent
841.3	Meadow	Absent
946.6	Meadow	Absent
635.3	Meadow	Present
778.6	Meadow	Absent
1334.7	Urban	Absent
1088.8	Orchard	Absent
1005	Meadow	Present
939.6	Orchard	Absent
1056.8	Urban	Absent
1098.6	Orchard	Absent
900.5	Meadow	Absent
1084	Orchard	Absent
542.5	Orchard	Present
851.5	Meadow	Present
815.5	Meadow	Present
1425.7	Urban	Absent
405.1	Meadow	Absent
1302.1	Urban	Absent
1152.6	Orchard	Absent
964.4	Meadow	Absent
1051.5	Urban	Absent
967.9	Urban	Present
567.5	Orchard	Present
1717.2	Urban	Absent
877.9	Orchard	Absent
891.6	Orchard	Present
329.3	Meadow	Present
1438.9	Orchard	Absent
1164.9	Orchard	Absent
906.3	Orchard	Present
1199.9	Orchard	Absent
601.2	Orchard	Present
1438.7	Orchard	Present
812	Orchard	Present
1227.9	Orchard	Present
1071.9	Orchard	Absent
793.6	Orchard	Present
838.9	Orchard	Present
169.4	Orchard	Present
1155.3	Urban	Absent
1307.3	Urban	Absent
1177.1	Orchard	Absent
1612.9	Urban	Absent
948.8	Orchard	Absent
789.7	Orchard	Absent
1334.9	Orchard	Absent
761.2	Orchard	Absent
695.5	Meadow	Absent
1023.7	Orchard	Absent
873.4	Orchard	Absent
904.7	Urban	Present
1101.6	Urban	Absent
912.8	Orchard	Absent
1348.4	Urban	Absent
977.2	Meadow	Present
1189.6	Meadow	Present
1254	Urban	Absent
753.1	Orchard	Absent
1148.9	Urban	Absent
922.1	Orchard	Absent
953.6	Urban	Absent
756.6	Orchard	Present
699.1	Orchard	Absent
1221.9	Orchard	Absent
783.9	Urban	Present
880.4	Orchard	Present
777.6	Meadow	Absent
1577.8	Meadow	Absent
1134.6	Orchard	Absent
779.9	Meadow	Absent
1185.7	Orchard	Absent
863.4	Orchard	Absent
1161.6	Orchard	Absent
1242.4	Urban	Present
1082.3	Urban	Absent
1306.7	Orchard	Present
1134.5	Urban	Present
902.1	Orchard	Absent
602.4	Orchard	Absent
1111.4	Orchard	Absent
1366.9	Urban	Present
946.8	Orchard	Absent
663.7	Meadow	Absent
1132	Orchard	Present
1298.3	Orchard	Absent
787	Urban	Present
790.3	Meadow	Absent
1174.6	Urban	Present
1478.3	Orchard	Absent
1000.8	Orchard	Present
1351.7	Urban	Absent
1140.1	Meadow	Absent
1422	Urban	Absent
780	Orchard	Absent
996.6	Orchard	Present
1054.4	Urban	Present
1094.7	Urban	Absent
659.6	Meadow	Present
1175.6	Orchard	Absent
502.1	Meadow	Present
1043	Urban	Absent
1366.8	Meadow	Absent
771.9	Meadow	Present
973.4	Urban	Absent
1178.6	Urban	Absent
1158.6	Orchard	Absent
636.9	Orchard	Present
892.7	Meadow	Absent
831.8	Orchard	Present
840.7	Orchard	Present
1233.2	Meadow	Absent
1075.4	Orchard	Absent
517.6	Orchard	Present
1050.2	Urban	Absent
1057.3	Orchard	Absent
637.7	Urban	Present
1514.8	Orchard	Absent
339.2	Orchard	Present
1106.1	Orchard	Present
1290.2	Meadow	Absent
1140	Orchard	Present
847.5	Urban	Present
409	Orchard	Absent
1579	Orchard	Absent
821.7	Orchard	Absent
1182.7	Orchard	Absent
1417.1	Urban	Absent
1296.3	Urban	Absent
721.6	Orchard	Absent
1313.3	Orchard	Absent
1069.2	Orchard	Absent
1378.5	Urban	Absent
1560	Urban	Present
718	Meadow	Present
419.2	Orchard	Present
1003.7	Meadow	Absent
1258.3	Urban	Present
1076.8	Urban	Present
1029.8	Meadow	Present
1080.3	Urban	Absent
1375.9	Orchard	Absent
929.9	Urban	Present
934.2	Urban	Absent
911.2	Orchard	Absent
850.5	Orchard	Present
786.9	Orchard	Absent
742.7	Meadow	Absent
1108.5	Urban	Absent
699.3	Orchard	Present
809.1	Orchard	Absent
1209.9	Urban	Present
925.1	Urban	Present
1272.2	Urban	Present
870.3	Urban	Absent
1338.3	Urban	Present
905	Meadow	Absent
784.6	Orchard	Present
1249.4	Meadow	Absent
1031.6	Urban	Present
498.2	Meadow	Absent
1155.7	Urban	Absent
982.3	Meadow	Absent
1379.7	Urban	Present
595.1	Orchard	Present
822.5	Orchard	Present
1264.1	Urban	Absent
1451.7	Orchard	Absent
980.6	Urban	Present
1028.8	Meadow	Absent
1002.9	Orchard	Present
658	Meadow	Present
657.1	Meadow	Absent
717.5	Urban	Present
1081.4	Orchard	Absent
1075.1	Meadow	Absent
735.6	Meadow	Present
787.3	Meadow	Present
1384.4	Orchard	Absent
673.8	Orchard	Present
1217.5	Meadow	Absent
871.2	Meadow	Absent
1076.1	Urban	Absent
380.7	Meadow	Present
1084.5	Meadow	Absent
1175.2	Orchard	Absent
1454.5	Meadow	Absent
1918.3	Urban	Absent
877.9	Urban	Absent
1287	Urban	Absent
1213	Orchard	Absent
1257.7	Urban	Present
1059.1	Orchard	Absent
814.5	Urban	Present
909.2	Urban	Present
887	Meadow	Present
825.2	Orchard	Absent
1084.4	Urban	Absent
953.8	Urban	Absent
791.2	Meadow	Absent
995.1	Orchard	Absent
938.2	Orchard	Absent
803.5	Meadow	Absent
1328.1	Urban	Absent
1417.6	Urban	Present
1073.1	Meadow	Absent
934.6	Orchard	Absent
951.1	Orchard	Absent
1113.1	Urban	Present
659.9	Meadow	Absent
1280.2	Urban	Present
951.6	Orchard	Absent
1139.5	Orchard	Present
441.8	Meadow	Present
1150.7	Orchard	Absent
820.3	Urban	Present
1016.2	Orchard	Present
1028.7	Urban	Absent
940.6	Orchard	Present
912.6	Meadow	Absent
836.7	Orchard	Present
1077.8	Urban	Absent
1166.3	Meadow	Present
1116.7	Urban	Present
942.4	Orchard	Absent
1281.9	Orchard	Absent
1331.8	Urban	Present
86.6	Meadow	Present
986.7	Meadow	Absent
118.3	Meadow	Present
1089.5	Orchard	Absent
1273.4	Orchard	Absent
902.2	Meadow	Absent
1106	Orchard	Absent
1095	Urban	Absent
830.7	Orchard	Absent
968.2	Urban	Absent
743.3	Orchard	Present
1300.4	Orchard	Absent
1016.5	Urban	Present
925.8	Orchard	Absent
730.5	Orchard	Present
739.6	Orchard	Absent
1414.4	Orchard	Absent
878.2	Urban	Present
1225.2	Orchard	Present
862.5	Orchard	Absent
777.2	Orchard	Present
1173.9	Urban	Absent
1130.7	Meadow	Absent
1462.6	Urban	Absent
488.2	Meadow	Absent
824.7	Urban	Present
1120.1	Urban	Absent
779.9	Orchard	Present
1241.6	Urban	Present
828.8	Meadow	Absent
972.5	Meadow	Present
752.2	Orchard	Absent
907.9	Orchard	Absent
1006.5	Meadow	Present
759.6	Orchard	Present
542.7	Meadow	Present
791.5	Meadow	Absent
873.1	Meadow	Absent
1172.7	Urban	Absent
432.4	Meadow	Present
706.6	Orchard	Present
967	Urban	Absent
1356.2	Urban	Present
1069.3	Orchard	Absent
1116.4	Orchard	Present
1124.3	Urban	Absent
589.7	Orchard	Present
1096.8	Orchard	Absent
1221.3	Orchard	Absent
1090.6	Orchard	Absent
1198	Urban	Absent
888	Meadow	Absent
1266.2	Urban	Absent
1221.4	Orchard	Absent
993.4	Meadow	Absent
1219.6	Orchard	Present
928	Urban	Absent
539.2	Orchard	Absent
857.4	Orchard	Absent
1251	Orchard	Absent
694.6	Orchard	Absent
500	Orchard	Present
782	Urban	Absent
785.6	Urban	Present
1310.1	Orchard	Absent
673.9	Orchard	Present
142.8	Orchard	Present
1038.5	Meadow	Absent
901.4	Orchard	Present
524.6	Orchard	Present
637.9	Meadow	Absent
1155.2	Urban	Present
1301.2	Urban	Present
516.2	Orchard	Absent
1306.1	Urban	Absent
820.6	Meadow	Absent
1151.8	Meadow	Present
862.4	Orchard	Present
905.1	Urban	Present
1119.5	Urban	Present
1040.1	Orchard	Absent
712.8	Urban	Present
1930.6	Urban	Absent
1102.2	Urban	Present
1178.6	Urban	Absent
560.8	Urban	Present
1340	Urban	Absent
