Species	Development_category	egg_mass	female_mass	Log_female_mass	Log_egg_mass	Ratio_egg_female	femur_length	n_for_femur
Accipiter.badius	a	21.3	196	2.2923	1.3291	10.9	NA	NA
Accipiter.brevipes	a	21.7	254	2.4048	1.3357	8.5	NA	NA
Accipiter.cooperii	a	43	566	2.7528	1.6335	7.6	64.9	15
Accipiter.gentilis	a	59	973	2.988	1.7709	6.1	82.8	11
Accipiter.striatus	a	18.5	174	2.2405	1.2672	10.6	48.4	24
Alcedo.atthis	a	4.3	27	1.4314	0.634	15.9	15.3	3
Alectoris.barbara	p	21.9	376	2.5752	1.3407	5.8	NA	NA
Alectoris.chukar	p	22	453	2.6556	1.3424	4.9	61	1
Alectoris.graeca	p	21.8	530	2.7243	1.3376	4.1	56.8	1
Alectoris.rufa	p	21.6	453	2.6556	1.3341	4.8	55.4	1
Alectura.lathami	p	192	2210	3.3444	2.2833	8.7	89.5	1
Anas.acuta	p	41.6	755	2.8779	1.6191	5.5	46.6	2
Anas.americana	p	52.9	672	2.8274	1.7237	7.9	43	8
Anas.clypeata	p	37.8	653	2.8149	1.5775	5.8	41.4	5
Anas.discors	p	28.1	422	2.6253	1.4487	6.7	32.9	3
Anas.platyrhynchos	p	52.2	1301	3.1143	1.7177	4	48.1	7
Anas.strepera	p	43.1	808	2.9074	1.6345	5.3	44.1	4
Anhinga.anhinga	p	36.3	1338	3.1263	1.5599	2.7	53.8	6
Anser.albifrons	p	128.5	1809	3.2574	2.1089	7.1	70.9	1
Aphelocoma.californica	a	6.2	86	1.9337	0.7924	7.2	NA	NA
Aphelocoma.coerulescens	a	5.8	75	1.8749	0.7642	7.7	NA	NA
Aphelocoma.insularis	a	7.1	111	2.0461	0.8507	6.4	NA	NA
Aphelocoma.ultramarina	a	8.2	113	2.0519	0.9149	7.3	NA	NA
Apteryx.australis	p	430	2955	3.4706	2.6335	14.6	90.3	5
Apteryx.owenii	p	275.5	1200	3.0792	2.4401	23	76.3	2
Apus.affinis	a	2.4	25	1.3979	0.3825	9.7	15.4	1
Apus.apus	a	3.6	38	1.5752	0.5539	9.5	17.5	3
Apus.caffer	a	2.8	22	1.3444	0.4436	12.6	NA	NA
Apus.melba	a	6.2	18	1.2529	0.7955	34.9	NA	NA
Apus.pallidus	a	3.9	42	1.6222	0.5904	9.3	NA	NA
Aramus.guarana	p	57.4	1110	3.0453	1.7589	5.2	76.5	2
Ardea.alba	p	39.4	812	2.9096	1.5956	4.9	NA	NA
Ardea.cinerea	p	60.3	1547	3.1893	1.78	3.9	102.8	3
Ardea.herodias	p	50.7	2110	3.3243	1.7053	2.4	99.4	16
Ardea.purpurea	p	50.8	830	2.9191	1.7055	6.1	87.3	3
Ardeotis.arabs	p	107.5	4500	3.6532	2.0314	2.4	NA	NA
Ardeotis.kori	p	151.1	5900	3.7709	2.1793	2.6	145	1
Balaeniceps.rex	p	159.5	5130	3.7101	2.2028	3.1	127	1
Bombycilla.cedrorum	a	3.2	33	1.5198	0.5051	9.7	19.1	2
Bombycilla.garrulus	a	3.8	54	1.734	0.5798	7	22.3	1
Botaurus.lentiginosus	p	35.1	482	2.683	1.5452	7.3	NA	NA
Botaurus.stellaris	p	42	867	2.938	1.6232	4.8	94.6	4
Burhinus.oedicnemus	p	42.8	459	2.6618	1.631	9.3	NA	NA
Cacatua.sanguinea	a	23.1	550	2.7404	1.3644	4.2	NA	NA
Cacatua.tenuirostris	a	20.3	455	2.658	1.3064	4.5	NA	NA
Calyptorhynchus.banksii	a	33.2	720	2.8573	1.5209	4.6	NA	NA
Calyptorhynchus.latirostris	a	32.8	675	2.8293	1.5163	4.9	NA	NA
Caprimulgus.aegyptius	a	8.4	77	1.8882	0.9267	10.9	NA	NA
Caprimulgus.carolinensis	a	17.3	108	2.033	1.2376	16	NA	NA
Caprimulgus.europaeus	a	8.7	67	1.8261	0.9397	13	23.4	2
Caprimulgus.ridgwayi	a	4.3	48	1.6812	0.6311	8.9	21.5	1
Caprimulgus.ruficollis	a	9.2	69	1.8357	0.9651	13.5	NA	NA
Caprimulgus.vociferus	a	7	57	1.752	0.8481	12.5	21	2
Casuarius.casuarius	p	584	29000	4.4624	2.7664	2	232	1
Cathartes.aura	a	82.1	2033	3.3081	1.9143	4	71.7	12
Centropus.senegalensis	a	11.7	156	2.1931	1.07	7.5	NA	NA
Chlamydotis.undulata	p	52.4	1450	3.1614	1.7192	3.6	65.5	2
Chlidonias.hybrida	p	16.3	87	1.937	1.2122	8.1	NA	NA
Chlidonias.leucoptera	p	11	54	1.7324	1.0414	20.4	NA	NA
Chlidonias.niger	p	11	63	1.7987	1.0414	17.5	NA	NA
Chlorostilbon.mellisugus	a	0.4	3	0.415	-0.3979	15.4	NA	NA
Ciconia.ciconia	p	105.9	3350	3.525	2.0248	3.2	94	1
Ciconia.nigra	p	83.9	3000	3.4771	1.9236	2.8	85	3
Coccyzus.americanus	a	9.4	63	1.7966	0.9731	15	27.9	2
Coccyzus.erythropalmus	a	6.3	56	1.7443	0.7993	11.4	26.4	1
Coccyzus.minor	a	9	69	1.8388	0.9518	13	NA	NA
Columba.livia	a	14.6	340	2.5315	1.1644	4.3	39	4
Coracias.benghalensis	a	14.6	171	2.233	1.1643	8.5	NA	NA
Coracias.garrulus	a	15.4	142	2.1523	1.1872	10.8	26.8	1
Cuculus.canorus	a	3.5	113	2.0531	0.5434	3.1	28.9	2
Cuculus.saturatus	a	2.1	77	1.8865	0.3313	2.8	NA	NA
Cursorius.cursor	p	13.7	138	2.1399	1.1379	10	NA	NA
Cypseloides.niger	a	5.3	35	1.549	0.7243	15	NA	NA
Dendragapus.obscurus.Montana	p	28.8	1271	3.1041	1.4594	2.3	68.2	1
Diomedea.chlororhynchos	p	202.9	2434	3.3863	2.3073	8.3	NA	NA
Diomedea.epomophora	p	452.5	8040	3.9053	2.6556	5.6	NA	NA
Diomedea.exulans	p	445	6950	3.842	2.6484	6.4	103	4
Diomedea.immutabilis	p	279	2750	3.4393	2.4456	10.1	72.7	19
Diomedea.melanophris	p	258	3206	3.506	2.4116	8	84	1
Diomedea.nigripes	p	298	3069	3.487	2.4742	9.7	77.6	18
Dromaeus.novaehollandiae	p	550	43080	4.6343	2.7404	1.3	227.9	11
Eolophus.roseicapillus	a	13	311	2.4928	1.1153	4.2	NA	NA
Falco.mexicanus	a	37.6	801	2.9036	1.5752	4.7	73.3	9
Falco.peregrinus	a	46.4	1201	3.0795	1.6665	3.9	73	10
Falco.rusticolis	a	62	1748	3.2425	1.7923	3.5	88.1	9
Falco.sparverius	a	13.8	120	2.0792	1.1399	11.5	36.6	15
Francolinus.africanus	p	19.5	362	2.5581	1.2897	5.4	NA	NA
Francolinus.bicalcaratus	p	23.3	381	2.5809	1.3682	6.1	NA	NA
Francolinus.francolinus	p	24.3	424	2.6274	1.3861	5.7	NA	NA
Fregata.magnificens	a	88.2	1344	3.1282	1.9453	6.6	NA	NA
Fregata.minor	a	88.8	1428	3.1546	1.9484	6.2	49.7	1
Gavia.adamsii	p	153.5	5212.5	3.71705	2.18611	2.9	64.1	1
Gavia.immer	p	152.5	2740	3.43775	2.18327	5.6	58.5	1
Gavia.pacifica.artica	p	98.4	1850	3.26717	1.993	5.3	41.8	1
Gavia.stellata	p	78.1	1621.5	3.20992	1.89265	4.8	37.8	1
Geococcyx.californianus	a	20.1	286	2.4568	1.3031	7	54.9	4
Glareola.nordmanni	p	10.7	97	1.9877	1.031	11.1	NA	NA
Glareola.pratincola	p	10.1	80	1.9036	1.0048	12.6	25.2	1
Glaucis.hirsuta	a	0.7	7	0.8451	-0.1871	9.3	8.9	2
Grus.americana	p	188.9	7497	3.8749	2.2762	2.5	NA	NA
Grus.canadenis	p	161.2	3460	3.5391	2.2074	4.7	NA	NA
Grus.canadenis.tabida	p	161.2	4450	3.6484	2.2074	3.6	108.7	3
Grus.grus	p	202.3	5500	3.7404	2.306	3.7	NA	NA
Grus.leucogeranus	p	197.2	5475	3.7384	2.295	3.6	NA	NA
Gyps.fulvus	a	242	7436	3.8713	2.3837	3.3	127.7	2
Haematopus.bachmani	p	46	555	2.7442	1.6628	8.3	51.8	2
Haematopus.ostralegus	p	41.5	526	2.721	1.618	7.9	43.7	1
Haematopus.palliatus	p	46.8	644	2.8089	1.6703	7.3	NA	NA
Halcyon.smyrnensis	a	11.3	91	1.9609	1.0548	12.4	NA	NA
Heteroscelus.incanus	p	19	134	2.1274	1.2788	14.2	30.8	1
Himantopus.himantopus	p	22.8	161	2.2068	1.3578	14.2	33.1	4
Himantopus.mexicanus	p	21	169	2.2271	1.3222	12.4	NA	NA
Jacana.spinosa	p	8	161	2.2068	0.9031	5	28.4	4
Jynx.torquilla	a	2.7	34	1.525	0.4314	8.1	20.1	1
Leipoa.ocellata	p	173	1785	3.2516	2.238	9.7	NA	NA
Lophortyx.californicus	p	8.9	175	2.2425	0.9509	5.1	41.8	3
Lophotis.ruficrista	p	38.5	680	2.8325	1.5857	5.7	NA	NA
Meleagris.gallopavo	p	66.7	4300	3.6335	1.8239	1.6	121.8	5
Menura.novaehollandiae	a	70.9	746	2.8727	1.8506	9.5	67	2
Merops.apiaster	a	6.3	57	1.7528	0.8007	11.2	NA	NA
Merops.orientalis	a	3.1	15	1.1703	0.4932	21	NA	NA
Merops.superciliosus	a	6.2	48	1.6839	0.7902	12.8	NA	NA
Numida.meleagris	p	37.4	1375	3.1383	1.5724	2.7	79	1
Oceanites.oceanites	p	9	34	1.5315	0.9542	26.5	15.3	2
Opisthocomus.hoazin	p	29.7	793	2.8993	1.4728	NA	65.2	11
Ortalis.vetula	p	56	414	2.6165	1.7482	13.5	65.5	1
Otis.tarda	p	138.1	6000	3.7782	2.1401	2.3	NA	NA
Otis.tetrax	p	41.4	750	2.8751	1.6165	5.5	55.7	1
Otus.brucei	a	12.6	105	2.0212	1.0995	12	NA	NA
Otus.flammeolus	a	10.4	63	1.7993	1.0179	16.5	26.2	8
Otus.scops	a	12.3	92	1.9638	1.0899	13.4	29.8	1
Pachyptila.desolata	p	30	200	2.301	1.4771	15	24.1	1
Pachyptila.vittata	p	32	196	2.2923	1.5051	16.3	NA	NA
Pandion.haliaetus	a	66	1850	3.2672	1.8195	3.6	78.1	11
Parus.ater	a	1.1	10	1.0086	0.0337	10.6	11.8	1
Parus.caeruleus	a	1.2	13	1.1239	0.0831	9.1	NA	NA
Parus.cristatus	a	1.4	10	1.0086	0.1403	13.5	12.8	1
Parus.cyanus	a	1.3	14	1.1367	0.1074	9.3	NA	NA
Parus.lugubris	a	1.7	18	1.243	0.2227	9.5	NA	NA
Parus.major	a	1.7	21	1.3176	0.2215	8	NA	NA
Parus.montanus	a	1.3	10	1.0086	0.1279	13.2	12.9	1
Passer.domesticus	a	2.8	28	1.4533	0.4502	9.9	18.4	1
Passer.hispanolensis	a	2.9	24	1.3838	0.4589	11.9	NA	NA
Passer.moabiticus	a	1.8	18	1.243	0.2492	10.1	NA	NA
Passer.montanus	a	2.1	23	1.356	0.3243	9.3	17.1	2
Passer.simplex	a	1.9	20	1.29	0.2756	9.7	NA	NA
Pedionomus.torquatus	p	9.8	75	1.8751	0.9933	13.1	NA	NA
Pelecanoides.urinatrix	p	20	124	2.0934	1.301	16.1	24.2	3
Pelecanus.erythrorhynchus	a	150	9050	3.9566	2.1761	1.7	113.7	2
Pelecanus.occidentalis	a	112	3174	3.5016	2.0492	3.5	85.4	3
Pelecanus.rufescens	a	116	5200	3.716	2.0645	2.2	NA	NA
Phaethon.leturus	p	45	392	2.5933	1.6532	11.5	30	3
Phaethon.aethereus	p	54	750	2.8751	1.7324	7.2	37.1	1
Phaethon.rubricauda	p	71	645	2.8096	1.8513	11	36.9	2
Phalacrocorax.aristotelis	a	51	1598	3.2036	1.7076	3.2	57.5	1
Phalacrocorax.atriceps	a	60	2948	3.4695	1.7782	2	58.8	2
Phalacrocorax.auritus	a	48	1540	3.1875	1.6812	3.1	59.3	5
Phalacrocorax.carbo	a	58	1936	3.2869	1.7634	3	63.3	10
Phalacrocorax.olivaceus	a	37	1800	3.2553	1.5682	2.1	NA	NA
Phalacrocorax.pelagicus	a	40	1759	3.2453	1.6021	2.3	50.1	2
Phalacrocorax.penicillatus	a	51	2252	3.3525	1.7076	2.3	64.8	3
Phalacrocorax.pygmaeus	a	23	603	2.78	1.3617	3.8	NA	NA
Phalacrocorax.urile	a	48	1788	3.2524	1.6812	2.7	61.8	3
Phalaropus.fulicarius	p	8	131	2.1169	0.9031	6.1	19.3	1
Phalaropus.lobatus.Alaska	p	6.4	37	1.5705	0.8062	17.2	17.3	13
Phalaropus.lobatus.Ontario	p	6.2	39	1.5911	0.7924	15.9	NA	NA
Phalaropus.tricolor	p	9	68	1.8331	0.9542	13.2	21.9	1
Pharomachus.mocinno	a	17	206	2.3139	1.2304	8.3	NA	NA
Phoenicopterus.ruber	p	142.7	2530	3.4031	2.1544	5.6	86.6	8
Picoides.albolarvatus	a	4.4	59	1.7723	0.6435	7.4	32.5	2
Picoides.arctica	a	4.8	71	1.85	0.6812	6.8	24.4	11
Picoides.arizonae	a	3.9	44	1.6444	0.5868	8.8	NA	NA
Picoides.borealis	a	4.2	48	1.6767	0.6182	8.7	NA	NA
