"Price" "Bedrooms" "PublicRooms" "Rooms" "Bathrooms" "FloorArea" "EPC" "Tax" "DayAdded" "PropertyURL" "Address" "Latitude" "Longitude" "UniCommuteTime" "HouseType" "Furnished"
1100 4 1 5 2 121 "C" "E" 0 "https://www.aspc.co.uk/search/property/428671/Broomlea/Insch/" "Broomlea" 57.30826 -2.625772 569.916666666667 "Detached" "Unfurnished"
650 2 1 3 1 56 "E" "C" 0 "https://www.aspc.co.uk/search/property/428652/164-Crown-Street/Aberdeen/" "164 Crown Street" 57.1403 -2.100906 51.3666666666667 "Flat" "Fully furnished"
1100 3 1 4 2 98 "C" "D" 0 "https://www.aspc.co.uk/search/property/428636/15-Burnside-Croft/Stonehaven/" "15 Burnside Croft" 56.91929 -2.350346 515.65 "Semi-Detached" "Unfurnished"
600 1 1 2 1 41 "D" "A" 0 "https://www.aspc.co.uk/search/property/428631/Ground-Floor-Right,--428-Holburn-Street/Aberdeen/" "Ground Floor Right,  428 Holburn Street" 57.13242 -2.11689 65.8 "Flat" "Unfurnished"
650 1 1 2 1 52 "D" "C" 0 "https://www.aspc.co.uk/search/property/428606/Flat-3,-TF,--14-Pitstruan-Place/Aberdeen/" "Flat 3, TF,  14 Pitstruan Place" 57.13507 -2.120833 66.35 "Flat" "Part furnished"
725 2 1 3 1 66 "C" "B" 0 "https://www.aspc.co.uk/search/property/428605/40c-Mugiemoss-Road/Aberdeen/" "40c Mugiemoss Road" 57.17982 -2.170824 64.3166666666667 "Flat" "Fully furnished"
995 3 1 4 1 110 "D" "E" 0 "https://www.aspc.co.uk/search/property/428586/74-Gordon-Street/Aberdeen/" "74 Gordon Street" 57.14291 -2.1045 48.2333333333333 "Terraced" "Fully furnished"
850 2 1 3 1 60 "B" "D" 0 "https://www.aspc.co.uk/search/property/428576/64s-Goodhope-Park/Aberdeen/" "64s Goodhope Park" 57.17761 -2.159304 52.8666666666667 "Flat" "Part furnished"
580 2 1 3 1 53 "C" "B" 0 "https://www.aspc.co.uk/search/property/428556/Flat-20,-The-Auld-Mill,--Station-Road/Turriff/" "Flat 20, The Auld Mill,  Station Road" 57.53265 -2.457931 684.5 "Flat" "Unfurnished"
550 1 1 2 1 42 "D" "A" 0 "https://www.aspc.co.uk/search/property/428555/Almsbury,--Elphinstone-Road/Inverurie/" "Almsbury,  Elphinstone Road" 57.27257 -2.371644 314.75 "Flat" "Unfurnished"
825 3 1 4 1 99 "D" "C" 0 "https://www.aspc.co.uk/search/property/428544/23-Grampian-Road/Alford/" "23 Grampian Road" 57.23628 -2.707382 575.933333333333 "Semi-Detached" "Unfurnished"
775 2 1 3 1 58 "D" "B" 0 "https://www.aspc.co.uk/search/property/428523/25-Scylla-Drive/Aberdeen/" "25 Scylla Drive" 57.09717 -2.091267 127.733333333333 "Flat" "Part furnished"
895 2 1 3 2 101 "C" "D" 0 "https://www.aspc.co.uk/search/property/428513/119-Bannermill-Place/Aberdeen/" "119 Bannermill Place" 57.15126 -2.085351 42.65 "Flat" "Fully furnished"
750 2 1 3 1 61 "C" "D" 0 "https://www.aspc.co.uk/search/property/428508/Flat-C,--198-Westburn-Road/Aberdeen/" "Flat C,  198 Westburn Road" 57.15266 -2.126587 37.8166666666667 "Flat" "Fully furnished"
995 2 1 3 2 77 "C" "E" 0 "https://www.aspc.co.uk/search/property/428458/21-Queens-Avenue/Aberdeen/" "21 Queens Avenue" 57.1401 -2.145748 74.0666666666667 "Flat" "Fully furnished"
550 2 1 3 1 66 "E" "A" 0 "https://www.aspc.co.uk/search/property/428433/27c-Old-Road/Huntly/" "27c Old Road" 57.44753 -2.781437 792 "Semi-Detached" "Unfurnished"
1495 4 1 5 2 152 "C" "G" 0 "https://www.aspc.co.uk/search/property/428429/8-Rubislaw-View/Aberdeen/" "8 Rubislaw View" 57.13866 -2.142214 75.15 "Terraced" "Unfurnished"
800 2 1 3 1 93 "D" "D" 0 "https://www.aspc.co.uk/search/property/428425/35-Stoneywood-Road/Aberdeen/" "35 Stoneywood Road" 57.18563 -2.181307 78.1 "Terraced" "Unfurnished"
1600 4 3 7 2 173 "C" "G" 0 "https://www.aspc.co.uk/search/property/428406/Hillcrest,--Craigmyle-Road/Banchory/" "Hillcrest,  Craigmyle Road" 57.10126 -2.606733 481.9 "Detached" "Unfurnished"
800 2 1 3 2 100 "C" "E" 0 "https://www.aspc.co.uk/search/property/428388/Flat-31,-The-Bastille,--75-Maberly-Street/Aberdeen/" "Flat 31, The Bastille,  75 Maberly Street" 57.15163 -2.107501 36.35 "Flat" "Fully furnished"
575 1 1 2 1 41 "C" "A" 0 "https://www.aspc.co.uk/search/property/428377/26-Ashvale-Place/Aberdeen/" "26 Ashvale Place" 57.14095 -2.115021 53.5666666666667 "Flat" "Fully furnished"
825 2 1 3 1 61 "C" "D" 0 "https://www.aspc.co.uk/search/property/428356/78a-Beach-Boulevard/Aberdeen/" "78a Beach Boulevard" 57.15157 -2.084221 41.4666666666667 "Flat" "Fully furnished"
595 2 1 3 1 56 "C" "D" 0 "https://www.aspc.co.uk/search/property/428342/Flat-C,--11-Back-Hilton-Road/Aberdeen/" "Flat C,  11 Back Hilton Road" 57.1604 -2.117915 20.85 "Flat" "Unfurnished"
1050 3 1 4 1 124 "C" "F" 0 "https://www.aspc.co.uk/search/property/428335/24-Fairfield-Road/Montrose/" "24 Fairfield Road" 56.84078 -2.281399 567.133333333333 "Detached" "Unfurnished"
945 2 1 3 2 77 "B" "D" 0 "https://www.aspc.co.uk/search/property/428299/8f-High-Street/Banchory/" "8f High Street" 57.05166 -2.506999 426.3 "Flat" "Fully furnished"
500 1 1 2 1 36 "E" "A" 0 "https://www.aspc.co.uk/search/property/428295/17-Howburn-Place/Aberdeen/" "17 Howburn Place" 57.13918 -2.112541 55.8 "Flat" "Unfurnished"
995 4 3 7 2 197 "E" "E" 0 "https://www.aspc.co.uk/search/property/428294/Flat-40,--North-Deeside-Road/Aboyne/" "Flat 40,  North Deeside Road" 57.08659 -2.675551 545.766666666667 "Flat" "Part furnished"
525 1 1 2 1 36 "C" "A" 0 "https://www.aspc.co.uk/search/property/428285/40-Gordon-Place/Inverurie/" "40 Gordon Place" 57.29153 -2.39668 356.95 "Flat" "Unfurnished"
575 1 1 2 1 42 "C" "A" 0 "https://www.aspc.co.uk/search/property/428249/438-Lee-Crescent-North/Aberdeen/" "438 Lee Crescent North" 57.19357 -2.131686 57.05 "Flat" "Fully furnished"
650 2 1 3 1 59 "E" "B" 0 "https://www.aspc.co.uk/search/property/428246/32-Ferguson-Court/Aberdeen/" "32 Ferguson Court" 57.17781 -2.168674 60.7 "Flat" "Fully furnished"
1700 4 3 7 3 158 "C" "F" 0 "https://www.aspc.co.uk/search/property/428244/32-Le-Roux-Drive/Inverurie/" "32 Le Roux Drive" 57.34144 -2.318532 366.55 "Detached" "Unfurnished"
1100 3 2 5 1 124 "C" "F" 0 "https://www.aspc.co.uk/search/property/428234/53-Martin-Drive/Stonehaven/" "53 Martin Drive" 56.97045 -2.23291 371.266666666667 "Detached" "Unfurnished"
925 2 1 3 2 91 "B" "E" 0 "https://www.aspc.co.uk/search/property/428231/2-Caledonian-Court/Aberdeen/" "2 Caledonian Court" 57.13929 -2.102363 55.05 "Flat" "Unfurnished"
545 1 1 2 1 44 "C" "C" 0 "https://www.aspc.co.uk/search/property/428227/10-Laurel-Avenue/Aberdeen/" "10 Laurel Avenue" 57.1795 -2.128674 30.0833333333333 "Flat" "Part furnished"
600 1 1 2 1 52 "B" "B" 0 "https://www.aspc.co.uk/search/property/428219/Flat-C,--4-Firhill-Square/Ellon/" "Flat C,  4 Firhill Square" 57.36903 -2.069828 341.65 "Flat" "Fully furnished"
550 2 1 3 1 79 "C" "B" 0 "https://www.aspc.co.uk/search/property/428166/Flat-E,--Manse-Road/Turriff/" "Flat E,  Manse Road" 57.53864 -2.461639 698.75 "Flat" "Unfurnished"
750 2 1 3 1 68 "C" "A" 0 "https://www.aspc.co.uk/search/property/428140/48-Meadowside/Montrose/" "48 Meadowside" 56.84474 -2.283183 561.766666666667 "Flat" "Unfurnished"
995 2 1 3 2 76 "C" "D" 0 "https://www.aspc.co.uk/search/property/428138/21b-Burnside-Drive/Aberdeen/" "21b Burnside Drive" 57.20082 -2.175785 104.566666666667 "Flat" "Part furnished"
495 1 1 2 1 37 "D" "B" 0 "https://www.aspc.co.uk/search/property/428128/256-Union-Grove/Aberdeen/" "256 Union Grove" 57.13941 -2.125869 62.75 "Flat" "Fully furnished"
525 1 1 2 1 43 "D" "A" 0 "https://www.aspc.co.uk/search/property/428126/54-Esslemont-Avenue/Aberdeen/" "54 Esslemont Avenue" 57.1486 -2.115671 41.3166666666667 "Flat" "Fully furnished"
