"price" "beds" "living" "baths" "sqmt" "epc" "tax" "date" "link" "house" "lat" "lon" "rooms" "commute_time" "commute_time_minutes"
800 2 1 1 57 "c" "c" 2024-07-07 "https://www.aspc.co.uk/search/property/426245/58A-Erroll-Street/Aberdeen/" "58A Erroll Street" 57.1565934514992 -2.09207889509068 3 1709 28.4833333333333
450 1 1 1 31 "g" "a" 2024-07-07 "https://www.aspc.co.uk/search/property/426207/Flat-F--10-Allan-Street/Aberdeen/" "Flat F, 10 Allan Street" 57.1359101740999 -2.11710175214832 2 3788 63.1333333333333
825 2 1 1 59 "b" "d" 2024-07-07 "https://www.aspc.co.uk/search/property/426195/25G-Seaforth-Road/Aberdeen/" "25G Seaforth Road" 57.1563580912195 -2.09396879877468 3 1620 27
680 2 1 1 71 "c" "b" 2024-07-07 "https://www.aspc.co.uk/search/property/426187/8-Taransay-Crescent/Aberdeen/" "8 Taransay Crescent" 57.1553568166309 -2.17662936441757 3 4481 74.6833333333333
600 1 1 1 40 "c" "a" 2024-07-07 "https://www.aspc.co.uk/search/property/426134/835-Great-Northern-Road/Aberdeen/" "835 Great Northern Road" 57.1730160007001 -2.14704403496977 2 2477 41.2833333333333
700 2 1 1 60 "d" "d" 2024-07-07 "https://www.aspc.co.uk/search/property/426133/542C-Great-Western-Road/Aberdeen/" "542C Great Western Road" 57.1311027200114 -2.13861543435711 3 4805 80.0833333333333
650 2 1 1 54 "c" "d" 2024-07-07 "https://www.aspc.co.uk/search/property/426115/80-Gairn-Mews--Gairn-Terrace/Aberdeen/" "80 Gairn Mews, Gairn Terrace" 57.1315493623745 -2.11597903496977 3 4089 68.15
800 2 1 1 66 "c" "d" 2024-07-07 "https://www.aspc.co.uk/search/property/426099/35-McIntosh-Crescent/Aberdeen/" "35 McIntosh Crescent" 57.2126015503632 -2.19006785399436 3 7329 122.15
695 2 1 1 59 "c" "b" 2024-07-07 "https://www.aspc.co.uk/search/property/426092/142-Morrison-Drive/Aberdeen/" "142 Morrison Drive" 57.1229672740039 -2.14566850429665 3 5757 95.95
650 1 1 1 47 "c" "b" 2024-07-07 "https://www.aspc.co.uk/search/property/426054/3A-Albert-Place/Aberdeen/" "3A Albert Place" 57.1464905456548 -2.11749090674727 2 2741 45.6833333333333
750 2 1 2 66 "c" "d" 2024-07-07 "https://www.aspc.co.uk/search/property/426031/72-Grandholm-Crescent/Aberdeen/" "72 Grandholm Crescent" 57.1772624529395 -2.12273981043127 3 1360 22.6666666666667
1000 2 1 2 77 "c" "e" 2024-07-07 "https://www.aspc.co.uk/search/property/425920/110D-Earls-Court--Anderson-Drive/Aberdeen/" "110D Earls Court, Anderson Drive" 57.1403116244225 -2.14214018097541 3 4286 71.4333333333333
595 1 1 1 54 "c" "c" 2024-07-07 "https://www.aspc.co.uk/search/property/425908/First-Floor-Left--44-Thomson-Street/Aberdeen/" "First Floor Left, 44 Thomson Street" 57.1514967260506 -2.12007142270052 2 2281 38.0166666666667
675 2 1 1 47 "c" "d" 2024-07-07 "https://www.aspc.co.uk/search/property/425827/122-Picktillum-Place/Aberdeen/" "122 Picktillum Place" 57.1613616363763 -2.11729770552196 3 1271 21.1833333333333
500 1 1 1 33 "d" "a" 2024-07-07 "https://www.aspc.co.uk/search/property/425791/Flat-4--50-John-Street/Aberdeen/" "Flat 4, 50 John Street" 57.1510298171597 -2.10321941104393 2 1855 30.9166666666667
750 2 1 1 31 "c" "d" 2024-07-07 "https://www.aspc.co.uk/search/property/425687/16-Candlemakers-Lane/Aberdeen/" "16 Candlemakers Lane" 57.151116362272 -2.09951476380491 3 2064 34.4
1000 2 1 1 98 "d" "e" 2024-07-07 "https://www.aspc.co.uk/search/property/425668/39-Cromwell-Road/Aberdeen/" "39 Cromwell Road" 57.1375278107588 -2.13363604662636 3 4253 70.8833333333333
550 1 1 1 35 "c" "b" 2024-07-07 "https://www.aspc.co.uk/search/property/425641/23-Charleston-Gardens/Aberdeen/" "23 Charleston Gardens" 57.0968269794871 -2.09758662086255 2 7922 132.033333333333
825 2 1 2 61 "c" "d" 2024-07-07 "https://www.aspc.co.uk/search/property/425634/Flat-5--2a-Deemount-Terrace/Aberdeen/" "Flat 5, 2a Deemount Terrace" 57.1335653624637 -2.10251983374445 3 3884 64.7333333333333
550 1 1 1 32 "e" "a" 2024-07-07 "https://www.aspc.co.uk/search/property/425438/33-Hartington-Road/Aberdeen/" "33 Hartington Road" 57.1406725352558 -2.12403872883514 2 3685 61.4166666666667
500 1 1 1 54 "d" "b" 2024-07-07 "https://www.aspc.co.uk/search/property/425434/38b-Charlotte-Street/Aberdeen/" "38b Charlotte Street" 57.1507728191419 -2.10408588343409 2 1905 31.75
1400 3 1 2 133 "e" "e" 2024-07-16 "https://www.aspc.co.uk/search/property/426515/41-Albury-Place/Aberdeen/" "41 Albury Place" 57.1382948015997 -2.10683115153567 4 3426 57.1
1600 3 2 1 134 "c" "f" 2024-07-16 "https://www.aspc.co.uk/search/property/426491/3-Cairn-Crescent/Aberdeen/" "3 Cairn Crescent" 57.1156331676224 -2.19412772883514 5 8328 138.8
750 2 1 1 67 "c" "c" 2024-07-16 "https://www.aspc.co.uk/search/property/426465/TFR--20-Esslemont-Avenue/Aberdeen/" "TFR, 20 Esslemont Avenue" 57.1479256355874 -2.114009 3 2499 41.65
1350 3 1 2 84 "c" "e" 2024-07-16 "https://www.aspc.co.uk/search/property/426405/3-Brockwood-Place/Aberdeen/" "3 Brockwood Place" 57.2106050027337 -2.29046776380491 4 11292 188.2
595 1 1 1 40 "d" "a" 2024-07-16 "https://www.aspc.co.uk/search/property/426387/GFR--278-Union-Grove/Aberdeen/" "GFR, 278 Union Grove" 57.1390582734503 -2.12778868220878 2 3878 64.6333333333333
525 1 1 1 40 "d" "b" 2024-07-16 "https://www.aspc.co.uk/search/property/426385/80-Fonthill-Road/Aberdeen/" "80 Fonthill Road" 57.1374680879093 -2.11244005828294 2 3576 59.6
675 2 1 1 54 "c" "c" 2024-07-16 "https://www.aspc.co.uk/search/property/426383/49-Picktillum-Avenue/Aberdeen/" "49 Picktillum Avenue" 57.1622658186682 -2.11818536441757 3 1102 18.3666666666667
800 2 1 1 73 "c" "e" 2024-07-16 "https://www.aspc.co.uk/search/property/426382/130D-Balmoral-Square--Great-Western-Road/Aberdeen/" "130D Balmoral Square, Great Western Road" 57.1381330856257 -2.11883676380491 3 3573 59.55
750 2 1 1 49 "c" "b" 2024-07-16 "https://www.aspc.co.uk/search/property/426376/71-Kirk-Brae/Aberdeen/" "71 Kirk Brae" 57.1207897089337 -2.18088781043127 3 7292 121.533333333333
