Height	Gender
168	Female
158	Female
190	Male
160	Female
170	Female
157	Female
168	Female
182	NotSaying
176	NotSaying
173	NotSaying
165	NotSaying
177	Male
160	Female
172	Male
160.02	Female
196	Male
178	Male
172	Female
173	Female
172	Female
174	Male
176	Female
179.8	Female
168	Female
172	Female
161	Female
168	Female
167	Female
177	NotSaying
190.5	Male
185.42	Male
175	Female
172	NotSaying
165	Female
171	Male
168	Male
165	Female
167	Female
191	Male
168	Female
175	Male
160	Female
168	Female
188	Male
168	NotSaying
183	Male
169	Female
177	Male
165	Female
173	NotSaying
172.72	Female
172.72	Female
156	Female
175	NotSaying
193	Male
167	Female
158	Female
172	Female
155	Female
147	Female
168	Female
177	Male
163	Female
168	Female
174	Male
175	Female
168	Female
180	Male
163	Female
185	Male
160	Female
152	Female
186	Male
154.94	Female
180	Male
172	Female
176	Female
172	Female
175	Male
183	Male
184	Male
173	Female
117	Female
165	Female
162	Female
172	Male
166	Female
162	Female
155	NotSaying
169	Female
