"temperature" "offspring"
28 36
4 27
21 48
21 42
11 39
22 36
9 36
4 25
29 32
-5 10
31 23
33 22
22 45
13 38
10 39
28 30
-5 16
29 40
-4 12
3 20
-8 18
-5 17
21 42
28 36
26 31
3 22
18 54
27 40
-10 19
-9 24
10 40
3 31
-2 24
34 17
20 44
21 56
-8 21
33 21
-9 1
19 46
29 30
31 25
18 46
8 44
28 34
10 39
9 45
3 24
19 42
19 45
-7 6
23 48
10 50
12 40
24 45
22 40
-9 16
-1 22
11 46
3 32
-7 16
9 41
7 32
19 48
4 29
27 39
30 27
22 41
4 32
3 31
19 43
-1 16
18 47
10 36
4 23
22 45
3 32
-8 21
20 47
0 28
-1 22
1 34
12 32
-9 15
21 46
12 38
34 24
4 33
-5 11
29 28
15 45
31 33
18 47
-8 12
24 43
-2 16
23 28
13 46
34 25
16 48
3 29
20 41
0 27
14 40
2 32
27 36
-3 17
-7 15
1 24
26 37
-7 17
18 44
27 39
-6 22
8 39
31 27
28 32
-2 18
12 42
2 24
32 24
-7 15
26 33
-5 17
22 48
-9 22
16 50
27 31
33 34
35 18
10 40
-9 10
-9 16
10 47
24 41
21 49
21 42
-6 17
-9 7
17 46
29 31
6 35
-5 10
11 39
18 43
35 24
14 40
2 12
16 48
7 31
7 37
10 42
32 31
-2 23
24 39
10 32
-3 13
-9 18
13 43
-2 15
-5 8
25 34
28 33
-2 22
26 38
26 44
-8 16
18 48
15 42
7 30
29 32
22 48
9 50
27 32
8 40
19 53
8 33
-10 17
26 41
16 51
-5 10
32 20
4 29
24 44
1 20
35 20
24 46
23 50
22 45
-4 16
-9 19
-9 16
-5 22
-6 17
-5 9
-8 7
12 37
12 56
29 30
31 28
34 23
-9 20
20 41
-5 10
28 35
-8 17
15 41
8 49
-5 15
28 29
19 48
30 20
9 35
11 41
29 29
10 46
3 24
26 43
-4 9
-3 24
-6 5
15 44
29 34
12 38
1 15
29 34
12 42
33 28
2 32
12 36
-8 17
-2 13
34 29
3 24
