Species_tag	Genome	Cell
2	5.3623	1.963495408
3	5.4216	0.618501054
4	5.3389	1.1545353
5	4.976	0.34636059
6	3.6807	0.530929158
7	3.5371	0.447971477
8	4.2545	0.255254403
9	4.1064	0.333794219
10	4.212	0.630478376
11	4.3702	0.746619129
12	3.7961	0.214708223
13	3.1407	0.343611696
14	3.9897	0.36756634
15	3.9879	0.519540885
16	4.2811	0.46181412
17	3.0647	0.138230077
18	3.4399	0.854513202
19	4.0302	0.993037803
20	3.8168	0.597295303
21	4.155	0.461421421
22	3.9333	0.238564692
23	4.3227	0.510508806
24	4.2267	0.409977841
25	3.7697	0.865901475
26	4.61	1.181238838
27	5.2296	0.251327412
28	4.487	1.963495408
29	4.1494	0.278325474
30	4.3944	0.848230016
31	5.3485	0.264742013
32	5.2679	1.963495408
33	5.7428	0.735132681
34	4.992	0.282743339
35	5.1075	0.452389342
36	4.8084	0.19880391
37	4.5455	0.7696902
38	5.8554	0.647069912
39	5.4098	0.2136283
40	5.7354	0.289026524
41	5.2826	0.353429174
42	5.4764	0.494800843
43	5.4898	0.343611696
44	5.1986	1.431388153
45	5.08	1.181238838
46	5.2185	0.344495269
47	4.6422	0.487045036
48	3.1912	0.339292007
49	4.718	0.404087355
50	4.6072	0.494800843
51	3.2911	0.020322177
52	3.4385	0.138230077
53	4.0542	0.254469005
54	4.9118	0.36756634
55	4.3212	0.451407594
56	4.6543	0.65423667
57	4.3576	1.081493271
58	4.361	0.282743339
59	4.6682	0.750447945
60	4.7559	2.253110981
61	4.0747	1.49225651
62	4.3536	0.188495559
63	4.6897	1.908517537
64	6.3979	0.414788405
65	6.5176	0.96211275
66	6.9514	0.392699082
67	6.994	2.480876449
68	6.7274	0.294524311
69	5.775	2.9935451
70	4.7232	0.53014376
71	5.0206	0.422151513
72	5.9798	0.237582944
73	5.9667	0.61575216
74	5.7539	0.69684452
75	7.265	0.994019551
76	6.1626	0.61575216
77	5.969	0.994019551
78	5.7312	0.497746086
79	6.0484	0.226194671
80	5.0789	1.418625433
81	5.2169	0.558418094
82	6.3729	1.570796327
83	4.9229	1.106527837
84	5.9579	1.877592484
85	7.2225	0.711963435
86	5.9156	3.958406744
87	5.65509	0.392699082
88	6.1673	2.159844949
89	6.1036	1.181778799
90	6.0537	1.986075606
91	6.4458	0.865901475
92	7.3759	1.83469011
93	6.9276	0.381703507
94	6.503	2.429825568
95	6.4955	1.435806017
96	6.8235	1.507964474
97	6.6861	0.537212344
98	6.3856	1.240536399
99	6.628	0.69272118
100	6.6431	0.273695552
101	5.9432	0.323976742
102	6.1706	2.034868467
103	6.0866	1.570796327
104	6.5635	0.344495269
105	6.3967	1.374446786
106	6.565	0.254469005
107	6.3243	0.160147594
108	6.582	0.147262156
109	5.0968	0.879645943
110	5.0289	0.73120569
111	5.1498	0.788932455
112	5.3102	2.423346033
113	5.6763	1.369538047
114	4.9738	0.728849496
115	4.7921	0.927751581
116	4.9925	0.994019551
117	7.0875	0.219886942
118	7.2472	1.332035285
119	5.8724	1.272345025
120	6.735	1.558622655
121	6.3456	1.749474409
122	6.6837	0.65423667
123	6.7635	1.984701159
124	6.7023	1.984701159
125	6.3929	1.84293679
126	5.56886	1.683893662
127	5.7713	1.23150432
128	6.2142	0.196349541
129	6.01	1.208727773
130	6.1946	0.84665922
131	6.0152	1.546252634
