Family	Species_name	English_name	Egg_mass	F_mass	M_mass	F_tarsus	Clutch_size	Mating_System	Display
146	Peucedramus_taeniatus	Olive_Warbler	1.47	11.5	10.8	NA	3.65	NA	NA
146	Fringilla_coelebs	Chaffinch	2.16	21.7	22.7	17.6	4	2.Monogamy	1
146	Fringilla_teydea	Teydefinch	3.37	29.2	30.9	22.6	2	NA	1
146	Fringilla_montifringilla	Brambling	2.14	22.7	22.6	18.6	5.8	NA	2
146	Serinus_pusillus	Fire-fronted_Serin	1.43	12	11.7	14.2	4.25	NA	3
146	Serinus_serinus	European_Serin	1.21	12.3	11.6	13.4	3.7	NA	4
146	Serinus_syriacus	Syrian_Serin	1.45	11	12	14.4	4	NA	1
146	Serinus_canaria	Island_Canary	1.54	15.3	15.2	16.9	3.81	2.Monogamy	3
146	Serinus_citrinelloides	African_Citril	1.52	12.5	12.9	14.9	2.4	NA	NA
146	Serinus_frontalis	Western_Citril	1.37	12	12	14.5	NA	NA	NA
146	Serinus_scotops	Forest_Canary	1.43	15.1	15.3	17.1	3	NA	NA
146	Serinus_mozambicus	Yellow-fronted_Canary	1.33	12.9	12.9	14.5	3	NA	4
146	Serinus_donaldsoni	Abyssinian_Grosbeak-Canary	2.28	23.3	23.5	16.9	2	NA	NA
146	Serinus_flaviventris	Yellow_Canary	1.58	16.5	17.5	18.9	3.5	NA	4
146	Serinus_sulphuratus	Brimstone_Canary	1.93	18.2	18.2	17.9	2.7	NA	NA
146	Serinus_gularis	Streaky-headed_Seedeater	1.69	15.9	15.2	17.1	2.3	NA	4
146	Serinus_totta	Cape_Siskin	1.67	13	13.5	15.3	NA	NA	NA
146	Carduelis_chloris	European_Greenfinch	2.17	28.1	27.2	17.8	4.3	2.Monogamy	3
146	Carduelis_spinus	Eurasian_Siskin	1.29	13.4	14.2	13.8	4	NA	4
146	Carduelis_tristis	American_Goldfinch	1.32	11.9	12.4	14.4	5.2	2.Monogamy	4
146	Carduelis_psaltria	Lesser_Goldfinch	1.14	8.8	8.9	12.5	4.5	2.Monogamy	3
146	Carduelis_lawrencei	Lawrence's_Goldfinch	1.1	10.2	10.1	13.2	4.86	NA	2
146	Carduelis_carduelis	European_Goldfinch	1.53	14.9	16	14.7	4.2	2.Monogamy	3
146	Carduelis_hornemanni	Hoary_Redpoll	1.45	12.7	13.6	14.4	4.5	2.Monogamy	4
146	Carduelis_flammea	Common_Redpoll	1.4	13.1	13	14.7	5	2.Monogamy	3
146	Carduelis_flavirostris	Twite	1.37	14.4	15.3	NA	5.55	NA	3
146	Carduelis_cannabina	Eurasian_Linnet	1.66	18.5	19.4	15.8	4.6	2.Monogamy	3
146	Rhodopechys_sanguinea	Crimson-winged_Finch	3.05	38.8	37.5	19.7	4.5	NA	3
146	Rhodopechys_githaginea	Trumpeter_Finch	2.12	17.7	18.6	18.1	NA	NA	3
146	Rhodopechys_mongolica	Mongolian_Finch	2.04	22.4	21.4	17.2	NA	NA	3
146	Rhodopechys_obsoleta	Desert_Finch	2.05	26.4	23.8	17.1	5	NA	1
146	Carpodacus_purpureus	Purple_Finch	2.34	24.6	25.9	17.04	3.94	2.Monogamy	3
