MOUSE.ID	repro	FUR	code	Day	FoodIntake	LitterMass
13	LACT	shave	1	4.5	22.41	32.56
37	LACT	shave	1	4.5	20.16	33.22
42	LACT	shave	1	4.5	16.80	24.33
55	LACT	shave	1	4.5	18.49	33.83
65	LACT	shave	1	4.5	16.39	27.79
8	LACT	shave	1	4.5	23.17	33.87
32	LACT	shave	1	4.5	21.75	34.85
19	LACT	shave	1	4.5	25.52	36.03
40	LACT	shave	1	4.5	20.30	32.31
7	LACT	shave	1	4.5	24.59	35.90
5	LACT	shave	1	4.5	21.34	40.74
15	LACT	shave	1	4.5	23.35	36.95
14	LACT	shave	1	4.5	24.44	35.82
43	LACT	shave	1	4.5	19.07	35.01
17	LACT	shave	1	4.5	20.82	38.08
18	LACT	shave	1	4.5	24.41	40.65
49	LACT	shave	1	4.5	23.27	41.75
62	LACT	shave	1	4.5	22.16	36.22
64	LACT	shave	1	4.5	18.26	31.19
52	LACT	shave	1	4.5	19.94	33.07
34	LACT	non-shave	2	4.5	18.43	32.32
39	LACT	non-shave	2	4.5	16.82	23.58
35	LACT	non-shave	2	4.5	18.80	34.83
53	LACT	non-shave	2	4.5	20.55	29.99
56	LACT	non-shave	2	4.5	22.30	32.35
9	LACT	non-shave	2	4.5	22.88	36.30
4	LACT	non-shave	2	4.5	21.86	33.66
28	LACT	non-shave	2	4.5	19.70	34.62
41	LACT	non-shave	2	4.5	23.26	30.10
48	LACT	non-shave	2	4.5	20.32	36.13
51	LACT	non-shave	2	4.5	21.04	29.32
11	LACT	non-shave	2	4.5	21.59	33.52
20	LACT	non-shave	2	4.5	21.37	34.18
29	LACT	non-shave	2	4.5	20.86	37.85
23	LACT	non-shave	2	4.5	23.00	41.69
47	LACT	non-shave	2	4.5	19.48	32.59
66	LACT	non-shave	2	4.5	19.16	33.06
21	LACT	non-shave	2	4.5	22.38	40.70
31	LACT	non-shave	2	4.5	17.63	31.22
36	LACT	non-shave	2	4.5	24.44	36.21
13	LACT	shave	1	6.5	24.49	45.57
37	LACT	shave	1	6.5	21.41	45.14
42	LACT	shave	1	6.5	19.93	34.86
55	LACT	shave	1	6.5	20.26	46.15
65	LACT	shave	1	6.5	20.14	38.33
8	LACT	shave	1	6.5	23.16	47.80
32	LACT	shave	1	6.5	22.77	48.44
19	LACT	shave	1	6.5	30.16	48.48
40	LACT	shave	1	6.5	17.95	42.13
7	LACT	shave	1	6.5	25.92	52.15
5	LACT	shave	1	6.5	22.14	55.35
15	LACT	shave	1	6.5	23.40	50.93
14	LACT	shave	1	6.5	23.67	46.54
43	LACT	shave	1	6.5	19.48	47.06
17	LACT	shave	1	6.5	20.16	49.67
18	LACT	shave	1	6.5	27.93	54.21
49	LACT	shave	1	6.5	24.91	55.87
62	LACT	shave	1	6.5	23.94	47.14
64	LACT	shave	1	6.5	22.02	43.58
52	LACT	shave	1	6.5	18.41	43.68
34	LACT	non-shave	2	6.5	19.91	44.82
39	LACT	non-shave	2	6.5	17.41	32.31
