"shark_density" "reef_complexity" "biomass_change"
8.2 5.79 40
6.3 3.45 15
4.7 17.93 108
4.5 0.46 -2
8.9 4.49 34
9.5 3.58 21
6.5 3.21 17
4.7 14.92 90
2.7 6.92 31
2.9 4.85 19
2.2 10.54 38
6.3 10.81 69
7.6 5.51 29
5.8 11.19 74
1 3.58 4
4.6 6.08 37
3.1 9.75 44
6.3 10.22 65
2.2 5.13 22
1.8 7.51 26
8.8 3.22 22
5.9 0.7 -10
8.4 7.3 57
4.5 2.39 13
6.1 6.49 47
2.3 10.86 50
4.7 8.72 51
7 1.48 -3
1.8 3.8 16
4.7 10.47 63
2.4 6.9 21
4.2 10.34 51
3.9 6.47 28
9.1 16.89 152
3.9 13.13 66
6.1 11.67 83
5.9 5.01 26
3.9 4.23 16
3.8 1.36 3
6.2 4.19 20
3.2 3.79 9
5 7.05 36
6.4 10.81 73
13.4 7.33 73
2.7 3.73 9
5.3 5.75 34
5.9 13.54 86
7 14.13 95
6.9 2.66 13
13.2 9.38 105
3.8 9.24 47
3.4 8.18 41
3.6 3.92 11
3 9.06 45
3.6 3.54 16
2.4 9.23 40
7.8 0.92 -3
4.4 3.93 21
8.2 4.4 20
4.9 3.67 15
11.1 13 131
7.7 6.73 51
6.5 5.23 37
5.5 2.4 5
11.4 2.98 19
4.7 20.29 120
1.8 8.39 30
7.1 3.86 20
6.4 5.88 34
1.7 1.15 1
8.8 4.61 29
2.7 2.51 4
5.8 4.95 24
5.2 7.78 46
5.5 8.85 54
4.3 4.79 19
10.2 5.84 43
7 5.39 35
3 9.43 38
5 18.62 116
2.7 2.32 6
8.2 3.55 20
7.7 3.1 12
2.1 5.81 25
5.4 13.41 83
8.7 10.65 87
4.6 6.05 32
4.4 16.28 91
4.4 9.14 45
7.5 4.47 26
2.7 1.43 0
3.9 5.08 26
3.5 0.96 -7
7.1 19.56 151
6.6 3.92 23
1.8 5.26 15
2.8 9.01 42
2.8 6.52 27
4.9 7.42 49
8.9 5.65 36
15.1 4.78 36
6.2 0.48 0
8.4 9.62 75
5.3 0.65 -9
2.7 4.98 19
6 2.37 9
4.5 6.27 28
8.9 2.42 12
3.8 4.03 14
2.8 4.63 14
2.6 7.56 28
8.8 11.78 97
3.5 1.27 0
4.9 1.86 -5
3.7 10.52 49
2 3.12 8
13 10.52 111
6.5 7.99 44
4.4 9.85 51
7.9 1.36 5
4.4 2.08 1
4.2 2.17 9
2.6 7.56 34
4.5 6.13 32
3.5 1.65 0
5.1 4.94 20
2.9 6.93 28
2.9 2.27 9
3.8 1.27 2
6.5 3.11 21
3.1 3.89 14
5.3 4.04 15
3.6 0.74 -9
5.1 17.1 106
11.6 1.94 -1
3.3 7.72 33
2.7 4.82 20
6.5 17.38 120
5.9 4.25 20
4.3 6.05 36
6.6 0.52 -4
2.7 4.29 13
3.4 10.02 46
12 4.55 35
7.7 7.65 57
7.2 8.38 59
11.9 1.28 -3
5.4 0.96 -3
7.7 3.11 13
8.5 5.64 39
2.8 2.13 -1
4.9 14.85 95
16.5 7.86 95
9.3 5.22 39
3.4 1.97 10
1.1 1.77 12
