"body_length" "habitat" "glyphosphate" "wing_length"
34.91 "Meadow" 1.5 18.85
32.34 "Forest" 1.2 15.44
29.46 "Wetland" 0 13.91
28.94 "Forest" 0 14.91
35.79 "Forest" 0.4 19.98
36.46 "Forest" 0.1 21.4
32.67 "Meadow" 0 14.53
29.36 "Wetland" 0.4 14.03
23.88 "Wetland" 0.8 11.52
24.39 "Forest" 1.9 13.16
21.64 "Forest" 0 13
32.34 "Wetland" 0.7 14.99
34.16 "Meadow" 0.2 16.87
31.47 "Meadow" 0.9 16.89
13.63 "Meadow" 0.8 2.91
29.26 "Wetland" 0.1 15.66
25.35 "Forest" 0 12.24
32.27 "Forest" 0.1 18.84
21.97 "Wetland" 0.9 10.82
19.94 "Wetland" 1.3 9.1
35.7 "Wetland" 0.2 18.84
31.58 "Meadow" 0.1 15.02
35.21 "Forest" 0.1 18.07
28.94 "Meadow" 0.1 12.43
31.99 "Wetland" 0.7 15.1
22.28 "Meadow" 0 8.84
29.41 "Wetland" 0.3 14.62
33.42 "Wetland" 0.9 16.56
19.72 "Meadow" 0.6 10.5
29.45 "Wetland" 0 11.92
22.8 "Forest" 0.5 12.12
28.37 "Wetland" 0.3 15.18
27.47 "Wetland" 0 14.33
36.02 "Wetland" 0.3 23.85
27.51 "Wetland" 2.2 14.78
31.95 "Meadow" 0 15.01
31.69 "Meadow" 0.2 16.63
27.55 "Forest" 0.5 14.83
27.15 "Wetland" 0.2 12.43
32.14 "Meadow" 0.1 13.23
25.64 "Meadow" 0 11.64
29.98 "Meadow" 0.1 13.98
32.48 "Meadow" 0.4 17.37
39.86 "Meadow" 0.3 21.4
24.02 "Wetland" 0 13.56
30.65 "forest" 0.1 14.71
31.65 "Forest" 0.3 16
33.34 "Meadow" 0.4 19.53
33.19 "Forest" 0.2 21.09
39.7 "Forest" 0.1 17.69
27.23 "Meadow" 0.1 11.19
26.17 "Wetland" 0.1 15.42
26.77 "Meadow" 0 12.54
24.86 "Forest" 0.4 11.45
26.6 "Forest" 0.1 13.25
22.83 "Meadow" 0.1 8.83
34.48 "Meadow" 0.5 16.66
28.8 "Wetland" 0.2 13.27
35 "Forest" 0.5 19.56
29.84 "Forest" 0.2 17.1
37.96 "Meadow" 0.6 17.45
34.3 "Meadow" 0 15.73
32.69 "Forest" 0.5 17.56
30.88 "Forest" 0.4 17.12
38.23 "Wetland" 1.2 22.3
29.36 "Wetland" 0.6 13.92
20.02 "Meadow" 0.2 9.12
