obs.number	treat	time	time_2	size	plot	obs.count	Recoded.treat
1	with.eiders	t0	start	Small	A	49	impact.no.excl
2	without.eiders	t0	start	Small	A	89	control.excl
3	with.eiders	t60	end	Small	A	142	impact.no.excl
4	without.eiders	t60	end	Small	A	549	control.excl
5	with.eiders	t0	start	Medium	A	25	impact.no.excl
6	without.eiders	t0	start	Medium	A	62	control.excl
7	with.eiders	t60	end	Medium	A	13	impact.no.excl
8	without.eiders	t60	end	Medium	A	12	control.excl
9	with.eiders	t0	start	Large	A	3	impact.no.excl
10	without.eiders	t0	start	Large	A	5	control.excl
11	with.eiders	t60	end	Large	A	18	impact.no.excl
12	without.eiders	t60	end	Large	A	13	control.excl
13	with.eiders	t0	start	Small	B	32	impact.no.excl
14	without.eiders	t0	start	Small	B	111	control.excl
15	with.eiders	t60	end	Small	B	216	impact.no.excl
16	without.eiders	t60	end	Small	B	196	control.excl
17	with.eiders	t0	start	Medium	B	24	impact.no.excl
18	without.eiders	t0	start	Medium	B	9	control.excl
19	with.eiders	t60	end	Medium	B	39	impact.no.excl
20	without.eiders	t60	end	Medium	B	89	control.excl
21	with.eiders	t0	start	Large	B	2	impact.no.excl
22	without.eiders	t0	start	Large	B	2	control.excl
23	with.eiders	t60	end	Large	B	6	impact.no.excl
24	without.eiders	t60	end	Large	B	1	control.excl
25	with.eiders	t0	start	Small	C	9	impact.no.excl
26	without.eiders	t0	start	Small	C	110	control.excl
27	with.eiders	t60	end	Small	C	117	impact.no.excl
28	without.eiders	t60	end	Small	C	307	control.excl
29	with.eiders	t0	start	Medium	C	21	impact.no.excl
30	without.eiders	t0	start	Medium	C	33	control.excl
31	with.eiders	t60	end	Medium	C	21	impact.no.excl
32	without.eiders	t60	end	Medium	C	63	control.excl
33	with.eiders	t0	start	Large	C	0	impact.no.excl
34	without.eiders	t0	start	Large	C	2	control.excl
35	with.eiders	t60	end	Large	C	6	impact.no.excl
36	without.eiders	t60	end	Large	C	0	control.excl
37	with.eiders	t0	start	Small	D	101	impact.no.excl
38	without.eiders	t0	start	Small	D	30	control.excl
39	with.eiders	t60	end	Small	D	27	impact.no.excl
40	without.eiders	t60	end	Small	D	137	control.excl
41	with.eiders	t0	start	Medium	D	51	impact.no.excl
42	without.eiders	t0	start	Medium	D	19	control.excl
43	with.eiders	t60	end	Medium	D	15	impact.no.excl
44	without.eiders	t60	end	Medium	D	39	control.excl
45	with.eiders	t0	start	Large	D	4	impact.no.excl
46	without.eiders	t0	start	Large	D	7	control.excl
47	with.eiders	t60	end	Large	D	8	impact.no.excl
48	without.eiders	t60	end	Large	D	1	control.excl
49	with.eiders	t0	start	Small	E	144	impact.no.excl
50	without.eiders	t0	start	Small	E	86	control.excl
51	with.eiders	t60	end	Small	E	4	impact.no.excl
52	without.eiders	t60	end	Small	E	592	control.excl
53	with.eiders	t0	start	Medium	E	84	impact.no.excl
54	without.eiders	t0	start	Medium	E	20	control.excl
55	with.eiders	t60	end	Medium	E	28	impact.no.excl
56	without.eiders	t60	end	Medium	E	129	control.excl
57	with.eiders	t0	start	Large	E	3	impact.no.excl
58	without.eiders	t0	start	Large	E	1	control.excl
59	with.eiders	t60	end	Large	E	0	impact.no.excl
60	without.eiders	t60	end	Large	E	2	control.excl
61	with.eiders	t0	start	Small	F	22	impact.no.excl
62	without.eiders	t0	start	Small	F	35	control.excl
63	with.eiders	t60	end	Small	F	112	impact.no.excl
64	without.eiders	t60	end	Small	F	172	control.excl
65	with.eiders	t0	start	Medium	F	57	impact.no.excl
66	without.eiders	t0	start	Medium	F	14	control.excl
67	with.eiders	t60	end	Medium	F	93	impact.no.excl
68	without.eiders	t60	end	Medium	F	162	control.excl
69	with.eiders	t0	start	Large	F	6	impact.no.excl
70	without.eiders	t0	start	Large	F	2	control.excl
71	with.eiders	t60	end	Large	F	3	impact.no.excl
72	without.eiders	t60	end	Large	F	12	control.excl
73	with.eiders	t0	start	Small	G	5	impact.no.excl
74	without.eiders	t0	start	Small	G	52	control.excl
75	with.eiders	t60	end	Small	G	67	impact.no.excl
76	without.eiders	t60	end	Small	G	21	control.excl
77	with.eiders	t0	start	Medium	G	29	impact.no.excl
78	without.eiders	t0	start	Medium	G	84	control.excl
79	with.eiders	t60	end	Medium	G	13	impact.no.excl
80	without.eiders	t60	end	Medium	G	20	control.excl
81	with.eiders	t0	start	Large	G	3	impact.no.excl
82	without.eiders	t0	start	Large	G	7	control.excl
