obs.number	treat	time	time_2	size	plot	obs.count	Recoded.treat
2	c.without.eiders	t0	start	Small	A	89	control.excl
4	c.without.eiders	t60	end	Small	A	549	control.excl
6	c.without.eiders	t0	start	Medium	A	62	control.excl
8	c.without.eiders	t60	end	Medium	A	12	control.excl
10	c.without.eiders	t0	start	Large	A	5	control.excl
12	c.without.eiders	t60	end	Large	A	13	control.excl
14	c.without.eiders	t0	start	Small	B	111	control.excl
16	c.without.eiders	t60	end	Small	B	196	control.excl
18	c.without.eiders	t0	start	Medium	B	9	control.excl
20	c.without.eiders	t60	end	Medium	B	89	control.excl
22	c.without.eiders	t0	start	Large	B	2	control.excl
24	c.without.eiders	t60	end	Large	B	1	control.excl
26	c.without.eiders	t0	start	Small	C	110	control.excl
28	c.without.eiders	t60	end	Small	C	307	control.excl
30	c.without.eiders	t0	start	Medium	C	33	control.excl
32	c.without.eiders	t60	end	Medium	C	63	control.excl
34	c.without.eiders	t0	start	Large	C	2	control.excl
36	c.without.eiders	t60	end	Large	C	0	control.excl
38	c.without.eiders	t0	start	Small	D	30	control.excl
40	c.without.eiders	t60	end	Small	D	137	control.excl
42	c.without.eiders	t0	start	Medium	D	19	control.excl
44	c.without.eiders	t60	end	Medium	D	39	control.excl
46	c.without.eiders	t0	start	Large	D	7	control.excl
48	c.without.eiders	t60	end	Large	D	1	control.excl
50	c.without.eiders	t0	start	Small	E	86	control.excl
52	c.without.eiders	t60	end	Small	E	592	control.excl
54	c.without.eiders	t0	start	Medium	E	20	control.excl
56	c.without.eiders	t60	end	Medium	E	129	control.excl
58	c.without.eiders	t0	start	Large	E	1	control.excl
60	c.without.eiders	t60	end	Large	E	2	control.excl
62	c.without.eiders	t0	start	Small	F	35	control.excl
64	c.without.eiders	t60	end	Small	F	172	control.excl
66	c.without.eiders	t0	start	Medium	F	14	control.excl
68	c.without.eiders	t60	end	Medium	F	162	control.excl
70	c.without.eiders	t0	start	Large	F	2	control.excl
72	c.without.eiders	t60	end	Large	F	12	control.excl
74	c.without.eiders	t0	start	Small	G	52	control.excl
76	c.without.eiders	t60	end	Small	G	21	control.excl
78	c.without.eiders	t0	start	Medium	G	84	control.excl
80	c.without.eiders	t60	end	Medium	G	20	control.excl
82	c.without.eiders	t0	start	Large	G	7	control.excl
84	c.without.eiders	t60	end	Large	G	4	control.excl
86	c.without.eiders	t0	start	Small	H	46	control.excl
88	c.without.eiders	t60	end	Small	H	22	control.excl
90	c.without.eiders	t0	start	Medium	H	13	control.excl
92	c.without.eiders	t60	end	Medium	H	66	control.excl
94	c.without.eiders	t0	start	Large	H	4	control.excl
96	c.without.eiders	t60	end	Large	H	0	control.excl
98	c.without.eiders	t0	start	Small	I	86	control.excl
100	c.without.eiders	t60	end	Small	I	110	control.excl
102	c.without.eiders	t0	start	Medium	I	28	control.excl
104	c.without.eiders	t60	end	Medium	I	49	control.excl
106	c.without.eiders	t0	start	Large	I	9	control.excl
108	c.without.eiders	t60	end	Large	I	1	control.excl
110	c.without.eiders	t0	start	Small	J	126	control.excl
112	c.without.eiders	t60	end	Small	J	67	control.excl
114	c.without.eiders	t0	start	Medium	J	52	control.excl
116	c.without.eiders	t60	end	Medium	J	119	control.excl
118	c.without.eiders	t0	start	Large	J	0	control.excl
120	c.without.eiders	t60	end	Large	J	11	control.excl
122	c.without.eiders	t0	start	Small	K	38	control.excl
124	c.without.eiders	t60	end	Small	K	45	control.excl
126	c.without.eiders	t0	start	Medium	K	35	control.excl
128	c.without.eiders	t60	end	Medium	K	98	control.excl
130	c.without.eiders	t0	start	Large	K	16	control.excl
132	c.without.eiders	t60	end	Large	K	0	control.excl
134	c.without.eiders	t0	start	Small	L	127	control.excl
136	c.without.eiders	t60	end	Small	L	277	control.excl
138	c.without.eiders	t0	start	Medium	L	25	control.excl
140	c.without.eiders	t60	end	Medium	L	80	control.excl
142	c.without.eiders	t0	start	Large	L	3	control.excl
144	c.without.eiders	t60	end	Large	L	2	control.excl
1	i.with.eiders	t0	start	Small	A	49	impact.no.excl
3	i.with.eiders	t60	end	Small	A	142	impact.no.excl
5	i.with.eiders	t0	start	Medium	A	25	impact.no.excl
7	i.with.eiders	t60	end	Medium	A	13	impact.no.excl
9	i.with.eiders	t0	start	Large	A	3	impact.no.excl
11	i.with.eiders	t60	end	Large	A	18	impact.no.excl
13	i.with.eiders	t0	start	Small	B	32	impact.no.excl
15	i.with.eiders	t60	end	Small	B	216	impact.no.excl
17	i.with.eiders	t0	start	Medium	B	24	impact.no.excl
19	i.with.eiders	t60	end	Medium	B	39	impact.no.excl
21	i.with.eiders	t0	start	Large	B	2	impact.no.excl
23	i.with.eiders	t60	end	Large	B	6	impact.no.excl
25	i.with.eiders	t0	start	Small	C	9	impact.no.excl
27	i.with.eiders	t60	end	Small	C	117	impact.no.excl
29	i.with.eiders	t0	start	Medium	C	21	impact.no.excl
31	i.with.eiders	t60	end	Medium	C	21	impact.no.excl
33	i.with.eiders	t0	start	Large	C	0	impact.no.excl
35	i.with.eiders	t60	end	Large	C	6	impact.no.excl
37	i.with.eiders	t0	start	Small	D	101	impact.no.excl
39	i.with.eiders	t60	end	Small	D	27	impact.no.excl
41	i.with.eiders	t0	start	Medium	D	51	impact.no.excl
43	i.with.eiders	t60	end	Medium	D	15	impact.no.excl
45	i.with.eiders	t0	start	Large	D	4	impact.no.excl
47	i.with.eiders	t60	end	Large	D	8	impact.no.excl
49	i.with.eiders	t0	start	Small	E	144	impact.no.excl
51	i.with.eiders	t60	end	Small	E	4	impact.no.excl
53	i.with.eiders	t0	start	Medium	E	84	impact.no.excl
55	i.with.eiders	t60	end	Medium	E	28	impact.no.excl
57	i.with.eiders	t0	start	Large	E	3	impact.no.excl
59	i.with.eiders	t60	end	Large	E	0	impact.no.excl
61	i.with.eiders	t0	start	Small	F	22	impact.no.excl
63	i.with.eiders	t60	end	Small	F	112	impact.no.excl
65	i.with.eiders	t0	start	Medium	F	57	impact.no.excl
67	i.with.eiders	t60	end	Medium	F	93	impact.no.excl
69	i.with.eiders	t0	start	Large	F	6	impact.no.excl
71	i.with.eiders	t60	end	Large	F	3	impact.no.excl
73	i.with.eiders	t0	start	Small	G	5	impact.no.excl
75	i.with.eiders	t60	end	Small	G	67	impact.no.excl
77	i.with.eiders	t0	start	Medium	G	29	impact.no.excl
79	i.with.eiders	t60	end	Medium	G	13	impact.no.excl
81	i.with.eiders	t0	start	Large	G	3	impact.no.excl
83	i.with.eiders	t60	end	Large	G	6	impact.no.excl
85	i.with.eiders	t0	start	Small	H	9	impact.no.excl
87	i.with.eiders	t60	end	Small	H	154	impact.no.excl
89	i.with.eiders	t0	start	Medium	H	51	impact.no.excl
91	i.with.eiders	t60	end	Medium	H	25	impact.no.excl
93	i.with.eiders	t0	start	Large	H	3	impact.no.excl
95	i.with.eiders	t60	end	Large	H	5	impact.no.excl
97	i.with.eiders	t0	start	Small	I	36	impact.no.excl
99	i.with.eiders	t60	end	Small	I	45	impact.no.excl
101	i.with.eiders	t0	start	Medium	I	15	impact.no.excl
103	i.with.eiders	t60	end	Medium	I	1	impact.no.excl
105	i.with.eiders	t0	start	Large	I	5	impact.no.excl
107	i.with.eiders	t60	end	Large	I	10	impact.no.excl
109	i.with.eiders	t0	start	Small	J	107	impact.no.excl
111	i.with.eiders	t60	end	Small	J	369	impact.no.excl
113	i.with.eiders	t0	start	Medium	J	21	impact.no.excl
115	i.with.eiders	t60	end	Medium	J	53	impact.no.excl
117	i.with.eiders	t0	start	Large	J	2	impact.no.excl
119	i.with.eiders	t60	end	Large	J	1	impact.no.excl
121	i.with.eiders	t0	start	Small	K	91	impact.no.excl
123	i.with.eiders	t60	end	Small	K	161	impact.no.excl
125	i.with.eiders	t0	start	Medium	K	22	impact.no.excl
127	i.with.eiders	t60	end	Medium	K	1	impact.no.excl
129	i.with.eiders	t0	start	Large	K	2	impact.no.excl
131	i.with.eiders	t60	end	Large	K	8	impact.no.excl
133	i.with.eiders	t0	start	Small	L	8	impact.no.excl
135	i.with.eiders	t60	end	Small	L	122	impact.no.excl
137	i.with.eiders	t0	start	Medium	L	24	impact.no.excl
139	i.with.eiders	t60	end	Medium	L	75	impact.no.excl
141	i.with.eiders	t0	start	Large	L	2	impact.no.excl
143	i.with.eiders	t60	end	Large	L	0	impact.no.excl
