"year" "city" "alc" "ufo" "chupa"
1981 "Houston" 7.8 0 0.07
1982 "Houston" 10.5 3 0.75
1983 "Houston" 4.9 0 -0.67
1984 "Houston" 7.1 0 -0.31
1985 "Houston" 5.8 0 -0.71
1986 "Houston" 7 0 -0.32
1987 "Houston" 7.6 0 -0.18
1988 "Houston" 5.3 0 -0.53
1989 "Houston" 6.9 0 -0.29
1990 "Houston" 4.4 0 -0.66
1991 "Houston" 10.4 4 0.96
1992 "Houston" 6.4 0 -0.42
1993 "Houston" 9.7 0 0.12
1994 "Houston" 6.8 0 -0.39
1995 "Houston" 7.6 0 -0.2
1981 "Dallas" 9.7 0 0.13
1982 "Dallas" 7.8 1 -0.11
1983 "Dallas" 6.5 1 -0.27
1984 "Dallas" 7.2 0 -0.1
1985 "Dallas" 4.3 0 -0.91
1986 "Dallas" 6.2 5 0.09
1987 "Dallas" 4.9 7 -0.04
1988 "Dallas" 9.3 0 0.29
1989 "Dallas" 5.8 0 -0.5
1990 "Dallas" 3.6 0 -1.04
1991 "Dallas" 6.2 38 3.49
1992 "Dallas" 1 0 -1.45
1993 "Dallas" 6.5 0 -0.34
1994 "Dallas" 7.3 10 0.76
1995 "Dallas" 10.5 0 0.49
1981 "Austin" 8.7 0 0.05
1982 "Austin" 11.9 0 0.83
1983 "Austin" 7.3 0 -0.3
1984 "Austin" 6.4 0 -0.15
1985 "Austin" 0 0 -1.77
1986 "Austin" 8.6 3 0.45
1987 "Austin" 7.8 8 0.58
1988 "Austin" 8.1 0 -0.15
1989 "Austin" 0 0 -1.79
1990 "Austin" 7.1 0 -0.23
1991 "Austin" 11.9 3 0.89
1992 "Austin" 3.5 0 -0.87
1993 "Austin" 5.9 0 -0.46
1994 "Austin" 7.2 1 -0.26
1995 "Austin" 7.8 0 -0.26
1981 "San Antonio" 6.8 0 -0.31
1982 "San Antonio" 7.8 0 -0.19
1983 "San Antonio" 8.4 1 0.03
1984 "San Antonio" 12.9 1 0.88
1985 "San Antonio" 4.7 0 -0.83
1986 "San Antonio" 8.6 0 0.04
1987 "San Antonio" 4.4 24 1.72
1988 "San Antonio" 8.9 0 0.15
1989 "San Antonio" 3.5 1 -0.96
1990 "San Antonio" 7.4 0 -0.11
1991 "San Antonio" 10.5 5 0.97
1992 "San Antonio" 8 0 0.08
1993 "San Antonio" 7.7 1 0.05
1994 "San Antonio" 5.1 0 -0.79
1995 "San Antonio" 7.5 0 -0.4
1981 "Fort Worth" 9.5 0 0.19
1982 "Fort Worth" 9.5 0 0.26
1983 "Fort Worth" 7.9 0 -0.19
1984 "Fort Worth" 10.4 0 0.52
1985 "Fort Worth" 4.8 0 -0.75
1986 "Fort Worth" 5.9 1 -0.24
1987 "Fort Worth" 5.1 15 0.76
1988 "Fort Worth" 6.4 0 -0.29
1989 "Fort Worth" 8.2 0 -0.04
1990 "Fort Worth" 3.9 0 -0.93
1991 "Fort Worth" 7.8 14 1.12
1992 "Fort Worth" 6.7 0 -0.31
1993 "Fort Worth" 9.3 1 0.25
1994 "Fort Worth" 4.7 0 -0.83
1995 "Fort Worth" 7.3 0 -0.34
1981 "El Paso" 6.6 0 -0.34
1982 "El Paso" 9.6 0 0.39
1983 "El Paso" 7.5 1 -0.11
1984 "El Paso" 8.2 0 -0.08
1985 "El Paso" 8.9 0 0.12
1986 "El Paso" 8.7 1 0.09
1987 "El Paso" 4.6 25 1.9
1988 "El Paso" 9.1 0 0.1
1989 "El Paso" 11.3 0 0.61
1990 "El Paso" 8.4 0 0.2
1991 "El Paso" 8.5 3 0.22
1992 "El Paso" 8.6 0 0.22
1993 "El Paso" 12.1 16 2.41
1994 "El Paso" 7.7 1 -0.06
1995 "El Paso" 8 0 0.04
1981 "Arlington" 5.6 0 -0.59
1982 "Arlington" 9.9 0 0.24
1983 "Arlington" 9.5 0 0.12
1984 "Arlington" 9.4 0 0.11
