"infected" "water_temp" "pond_type"
1 20.8 "Temporary"
0 17.7 "Permanent"
1 18.2 "Temporary"
0 18 "Permanent"
1 21.4 "Permanent"
0 18.1 "Temporary"
1 22.8 "Permanent"
1 13.5 "Permanent"
1 19.7 "Temporary"
1 18.8 "Permanent"
0 17.2 "Permanent"
0 23.4 "Permanent"
0 19.9 "Temporary"
0 12.3 "Temporary"
0 17.6 "Permanent"
0 22.3 "Temporary"
1 16.4 "Permanent"
1 16.4 "Temporary"
0 21.1 "Temporary"
1 13.3 "Permanent"
1 16.2 "Temporary"
0 21.8 "Permanent"
0 12.5 "Temporary"
0 20.6 "Permanent"
0 16 "Permanent"
0 23 "Temporary"
1 21.3 "Permanent"
1 14.4 "Temporary"
0 22.3 "Temporary"
1 15.1 "Permanent"
0 17.1 "Temporary"
1 13.7 "Temporary"
0 17.8 "Permanent"
1 18.5 "Temporary"
0 19.9 "Permanent"
1 13.4 "Permanent"
1 13.1 "Permanent"
0 14.1 "Permanent"
0 23.9 "Permanent"
0 22.9 "Temporary"
1 16.8 "Temporary"
0 23.2 "Permanent"
1 21.2 "Permanent"
0 21.8 "Permanent"
1 24 "Permanent"
0 21.8 "Temporary"
1 21 "Permanent"
1 13.6 "Temporary"
0 17.4 "Temporary"
1 18.5 "Permanent"
0 13.2 "Temporary"
0 20.8 "Permanent"
0 14.2 "Temporary"
0 13.6 "Temporary"
1 18.2 "Temporary"
1 16.3 "Permanent"
1 16.2 "Permanent"
1 19.1 "Permanent"
0 21.2 "Permanent"
1 19.2 "Permanent"
1 13.8 "Permanent"
1 20.9 "Permanent"
0 23.6 "Permanent"
0 14.6 "Permanent"
1 13.2 "Permanent"
0 21.2 "Temporary"
0 20.7 "Temporary"
1 16 "Permanent"
1 15.2 "Permanent"
1 14.2 "Temporary"
1 13.2 "Temporary"
0 23.9 "Permanent"
1 19.3 "Permanent"
1 17.2 "Permanent"
0 12.8 "Permanent"
0 18 "Temporary"
0 21.8 "Permanent"
1 19.3 "Permanent"
1 22 "Permanent"
0 19.1 "Permanent"
1 22.8 "Permanent"
1 14.6 "Temporary"
0 23.1 "Permanent"
1 13 "Permanent"
1 15.2 "Temporary"
1 16.2 "Permanent"
1 16.3 "Permanent"
1 14.3 "Permanent"
0 12.8 "Temporary"
0 18.2 "Temporary"
1 22.5 "Permanent"
0 23.4 "Permanent"
1 16 "Permanent"
0 22.9 "Temporary"
0 18.6 "Temporary"
1 20 "Permanent"
0 21.7 "Temporary"
0 21.5 "Permanent"
0 20.3 "Permanent"
1 15.2 "Temporary"
1 19.7 "Permanent"
0 23.6 "Temporary"
1 13.3 "Permanent"
0 21.7 "Temporary"
0 17.2 "Temporary"
1 21.7 "Permanent"
0 22.3 "Permanent"
0 17.2 "Temporary"
1 19.7 "Permanent"
0 23.2 "Temporary"
0 22.3 "Temporary"
0 13.6 "Permanent"
0 20.8 "Temporary"
1 21.7 "Permanent"
0 14.4 "Temporary"
1 13.4 "Permanent"
1 14.9 "Permanent"
0 20.6 "Temporary"
1 17.8 "Permanent"
0 14 "Permanent"
1 20.7 "Permanent"
0 20 "Temporary"
0 20.9 "Permanent"
0 18.6 "Temporary"
0 20.2 "Temporary"
1 20.6 "Permanent"
0 23 "Temporary"
0 22.8 "Temporary"
1 13.5 "Permanent"
0 20.7 "Temporary"
1 12.1 "Permanent"
0 20 "Permanent"
1 14.2 "Temporary"
0 17.2 "Temporary"
1 16.1 "Temporary"
1 19.3 "Permanent"
0 23.5 "Permanent"
1 13.6 "Temporary"
1 16.1 "Temporary"
0 20.6 "Permanent"
0 17.6 "Temporary"
0 23 "Temporary"
1 14.7 "Permanent"
0 23.5 "Temporary"
0 14.5 "Temporary"
1 20.2 "Temporary"
1 12.1 "Temporary"
0 16 "Permanent"
1 15.6 "Permanent"
0 20.8 "Temporary"
0 22.1 "Temporary"
0 22.5 "Temporary"
0 15.5 "Permanent"
0 22.3 "Temporary"
1 23.2 "Permanent"
0 16.8 "Temporary"
1 14.7 "Permanent"
1 12.1 "Permanent"
1 15 "Temporary"
0 22 "Temporary"
1 13.6 "Permanent"
0 16.1 "Temporary"
1 23.2 "Permanent"
1 15 "Permanent"
0 19 "Temporary"
1 22.9 "Permanent"
0 13.7 "Temporary"
1 13.7 "Permanent"
1 18 "Permanent"
0 18.4 "Temporary"
