"germinated" "seed_mass" "genotype" "stratification"
1 31.7 "WT" "Warm"
0 21.4 "dog1" "Warm"
0 28.6 "WT" "Warm"
1 29 "dog1" "Warm"
1 24.1 "WT" "Cold"
1 29 "dog1" "Cold"
0 23.3 "WT" "Warm"
1 21.1 "dog1" "Warm"
0 32.5 "dog1" "Warm"
0 17.4 "WT" "Warm"
1 33 "WT" "Cold"
1 34.1 "WT" "Cold"
1 29.1 "dog1" "Cold"
1 25.3 "dog1" "Cold"
0 24 "WT" "Warm"
0 31.8 "dog1" "Warm"
1 17.2 "dog1" "Warm"
1 32.3 "WT" "Cold"
0 17.6 "dog1" "Warm"
1 20.9 "dog1" "Cold"
1 15.9 "dog1" "Cold"
0 17.2 "WT" "Warm"
0 28.6 "WT" "Warm"
1 32 "dog1" "Warm"
1 30.9 "dog1" "Cold"
0 20.8 "WT" "Warm"
1 27.3 "dog1" "Cold"
1 31.3 "WT" "Cold"
0 15 "dog1" "Warm"
1 15.4 "dog1" "Warm"
1 23.8 "dog1" "Warm"
0 20.8 "dog1" "Cold"
0 18.5 "WT" "Warm"
1 34.5 "dog1" "Warm"
0 28.5 "WT" "Warm"
1 28.6 "WT" "Warm"
0 16.1 "dog1" "Cold"
1 34.3 "dog1" "Warm"
0 15.4 "WT" "Warm"
0 27.9 "WT" "Warm"
1 32.5 "dog1" "Cold"
1 33.2 "dog1" "Cold"
1 27.5 "dog1" "Warm"
1 22.8 "dog1" "Cold"
1 32 "dog1" "Warm"
1 24 "dog1" "Warm"
1 23.3 "dog1" "Cold"
1 20.6 "WT" "Cold"
0 28.1 "dog1" "Warm"
1 28 "WT" "Cold"
0 16.2 "WT" "Warm"
1 29.8 "dog1" "Warm"
1 24.1 "dog1" "Cold"
1 24.8 "WT" "Cold"
1 30.1 "dog1" "Warm"
1 29.3 "dog1" "Cold"
1 15.4 "dog1" "Cold"
0 18.8 "dog1" "Warm"
0 24.1 "WT" "Warm"
0 20.6 "dog1" "Warm"
1 16.5 "dog1" "Warm"
1 23.5 "dog1" "Cold"
0 22.4 "WT" "Warm"
1 27.8 "WT" "Cold"
0 21.1 "dog1" "Cold"
1 31.3 "WT" "Cold"
1 32.7 "WT" "Cold"
1 29.4 "dog1" "Warm"
0 21.2 "WT" "Cold"
1 20.7 "WT" "Cold"
1 28 "dog1" "Warm"
1 19 "dog1" "Cold"
1 27.6 "dog1" "Cold"
1 23.9 "dog1" "Cold"
1 21.2 "WT" "Cold"
1 29.2 "dog1" "Cold"
0 20.7 "WT" "Warm"
1 15.7 "dog1" "Warm"
1 28.3 "dog1" "Cold"
0 19.4 "WT" "Warm"
0 18.8 "WT" "Warm"
0 19.9 "WT" "Warm"
1 25 "dog1" "Warm"
1 15.4 "WT" "Cold"
1 28.8 "dog1" "Warm"
1 24.7 "dog1" "Cold"
0 34.5 "WT" "Warm"
1 21.2 "WT" "Cold"
0 17.3 "WT" "Cold"
1 32.2 "dog1" "Cold"
1 26 "WT" "Warm"
0 33.2 "WT" "Warm"
1 27.6 "WT" "Cold"
0 15.8 "WT" "Warm"
0 30 "WT" "Warm"
1 18.7 "dog1" "Warm"
1 29.8 "WT" "Cold"
1 25.1 "WT" "Warm"
1 34.5 "WT" "Warm"
1 26.4 "dog1" "Warm"
1 20.8 "dog1" "Warm"
1 28.4 "WT" "Cold"
0 19.4 "dog1" "Warm"
1 25.6 "WT" "Cold"
0 20.2 "WT" "Warm"
1 31.5 "dog1" "Cold"
1 18 "WT" "Cold"
1 16.3 "WT" "Cold"
1 20 "dog1" "Warm"
0 31.1 "WT" "Warm"
1 16.5 "dog1" "Cold"
1 27.4 "dog1" "Cold"
1 31.3 "WT" "Warm"
1 16.8 "dog1" "Warm"
1 23.1 "dog1" "Cold"
1 33.1 "dog1" "Cold"
1 31.8 "dog1" "Warm"
1 18.4 "WT" "Cold"
1 24.7 "WT" "Cold"
0 20.2 "dog1" "Warm"
1 33.9 "WT" "Cold"
0 16.3 "WT" "Warm"
1 31.1 "dog1" "Cold"
1 17.4 "WT" "Warm"
1 29.1 "dog1" "Warm"
1 15.3 "dog1" "Warm"
1 26.4 "WT" "Cold"
1 31.2 "WT" "Warm"
1 34 "dog1" "Cold"
1 34.9 "dog1" "Cold"
1 24 "dog1" "Warm"
0 15.3 "WT" "Warm"
1 15.5 "WT" "Cold"
0 23.9 "WT" "Warm"
1 30.3 "dog1" "Warm"
1 28.6 "WT" "Cold"
0 28.8 "WT" "Warm"
1 16.8 "WT" "Cold"
0 15.3 "WT" "Warm"
0 27 "WT" "Warm"
0 32.4 "dog1" "Warm"
0 22 "WT" "Warm"
1 17.3 "WT" "Cold"
0 24.3 "WT" "Warm"
1 27.3 "dog1" "Cold"
1 34.9 "dog1" "Warm"
1 25.6 "WT" "Cold"
1 20.2 "dog1" "Cold"
0 26.6 "WT" "Warm"
0 22.6 "WT" "Warm"
0 22.5 "WT" "Warm"
0 23.9 "WT" "Warm"
1 33.4 "WT" "Cold"
0 18.6 "WT" "Warm"
1 30.1 "WT" "Cold"
1 23.7 "dog1" "Warm"
0 18 "WT" "Cold"
0 15.3 "WT" "Warm"
1 25.1 "dog1" "Cold"
0 18.3 "WT" "Warm"
0 17.1 "WT" "Warm"
1 30.3 "dog1" "Warm"
0 31.8 "WT" "Warm"
0 18.4 "WT" "Warm"
0 31.1 "WT" "Warm"
0 31 "WT" "Cold"
1 15.8 "dog1" "Warm"
1 27.4 "WT" "Cold"
0 26.2 "dog1" "Warm"
0 22.8 "WT" "Warm"
1 32.3 "WT" "Cold"
0 29.3 "WT" "Warm"
1 23.5 "WT" "Cold"
1 31.3 "dog1" "Cold"
0 23 "dog1" "Warm"
1 27.7 "WT" "Cold"
1 23 "dog1" "Warm"
1 15.2 "dog1" "Cold"
1 30.9 "WT" "Warm"
0 26.6 "dog1" "Warm"
1 17.2 "dog1" "Cold"
1 33.6 "dog1" "Cold"
0 21 "dog1" "Warm"
1 29.9 "WT" "Cold"
0 19.8 "WT" "Warm"
1 34.9 "dog1" "Warm"
1 30.1 "WT" "Cold"
0 29.9 "WT" "Warm"
1 29.2 "WT" "Warm"
1 17.5 "dog1" "Warm"
0 15.4 "WT" "Warm"
1 15.5 "dog1" "Cold"
0 17.4 "WT" "Warm"
1 16.6 "dog1" "Warm"
1 17.4 "WT" "Cold"
0 15.9 "WT" "Warm"
1 24.8 "WT" "Cold"
0 24.6 "WT" "Warm"
1 32.5 "dog1" "Warm"
0 33.3 "WT" "Warm"
