"Price" "Bedrooms" "PublicRooms" "Rooms" "Bathrooms" "FloorArea" "EPC" "Tax" "DayAdded" "DateAdded" "Latitude" "Longitude" "UniCommuteTime" "HouseType" "Furnished"
509 1 1 2 2 NA "D" "A" 0 "2024-06-24" 56.78729 -1.98451 498.6011 "Flat" "Part furnished"
756 2 1 3 1 68 "D" "B" 0 "2024-10-01" 57.27769 -1.79492 271.8677 "Flat" "Unfurnished"
1162 2 1 3 2 107 "B" "B" 0 "2024-08-22" 57.37082 -2.10211 292.6494 "Semi-Detached" "Fully furnished"
989 3 1 4 1 75 "E" "D" 0 "2024-09-02" 56.86193 -2.27699 385.5581 "Detached" "Fully furnished"
711 1 0 1 1 62 "B" "C" 0 "2024-06-15" 57.05396 -2.01537 137.4325 "Flat" "Fully furnished"
1642 4 1 5 1 130 "D" "G" 0 "2024-08-10" 56.92879 -1.94219 300.2232 "Detached" "Unfurnished"
580 1 1 2 1 53 "D" "D" 0 "2024-07-11" 57.30334 -2.07931 205.593 "Detached" "Fully furnished"
803 1 1 2 1 34 "C" "C" 0 "2024-06-16" 57.10022 -2.36242 182.2276 "Flat" "Unfurnished"
942 4 1 5 2 91 "A" "B" 0 "2024-07-25" 57.28519 -2.00656 209.0227 "Detached" "Unfurnished"
1321 3 2 5 1 90 "B" "D" 0 "2024-07-31" 56.94057 -1.64398 452.7151 "Detached" "Fully furnished"
655 3 1 4 2 104 "D" "E" 0 "2024-06-15" 56.99946 -1.95818 213.9904 "Flat" "Part furnished"
890 4 1 5 1 126 "C" "D" 0 "2024-10-04" 56.96765 -2.2387 248.845 "Detached" "Part furnished"
776 1 1 2 2 67 "D" "C" 0 "2024-08-27" 57.11211 -2.41837 241.6349 "Flat" "Unfurnished"
855 2 1 3 2 51 "D" "E" 0 "2024-09-28" 57.00904 -2.02131 176.5815 "Terraced" "Part furnished"
1054 2 2 4 1 77 "C" "D" 0 "2024-08-17" 56.9213 -1.96937 314.2926 "Detached" "Unfurnished"
