"mongoose" "weight"
"Absent" 2298.9
"Present" 2638.1
"Absent" 2422
"Absent" 2644.9
"Present" 2558.9
"Absent" 2950.8
"Absent" 2560.2
"Present" 2737.9
"Absent" 2777.5
"Present" 2562.1
"Absent" 2595.8
"Absent" 2795.7
"Absent" 2535.5
"Present" 2659.1
"Present" 2759.1
"Absent" 3104.6
"Present" 2420.6
"Absent" 2736.1
"Present" 2725.8
"Present" 2793.6
"Present" 2787.8
"Present" 3048.1
"Absent" 2599.1
"Absent" 2556.9
"Absent" 2580.7
"Present" 2454.5
"Absent" 2573.8
"Absent" 2423.3
"Present" 2839.1
"Present" 2612.2
"Present" 2860.1
"Present" 2653.5
"Present" 2978.6
"Absent" 2882
"Absent" 2817.7
"Absent" 2745
"Present" 2989.2
"Absent" 2684.2
"Present" 2260.9
"Absent" 2852.9
"Absent" 3808
"Absent" 2286.2
"Absent" 2936.3
"Present" 2418.4
"Absent" 2769.2
"Present" 2675.1
"Present" 2699.2
"Present" 2597.4
"Absent" 2994.3
"Absent" 2846.7
"Present" 2452.2
"Absent" 2713.1
"Present" 2411.4
"Present" 2858.4
"Absent" 2882.8
"Absent" 2359
